HBA Department
25003 Deodorant-Shave-04' L-Released
",,,,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 6",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 7:  Height 1' 0.00"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 6:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 5:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 4:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 3:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 2:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 1:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0087863900156,,,1,,EVERYMAN JACK,,,,,,RAZOR CARTRIDGES-SENSITVE,,,,4.00,,,,CNT,,,,,,,,2.05,,,,,
17,0084105800147,,,1,,BULL DOG NATURAL SKINCARE,,,,,,SHAVE GEL-ORIGINAL,,,,5.90,,,,FOZ,,,,,,,,3.00,,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 2,   Length: 4' 0.00"",    Height: 0' 7.50"",   Depth: 1' 6.00"",   Product: 3' 11.95""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0007834775040,,,1,,,NATURE'S GATE,,,,DEODORANT-HB-CHAMOMILE LEMON VERBENA,,,,,,1.70,,,OZ,,,,,,,2.25,,,,,,
2,0007834775038,,,1,,,NATURE'S GATE,,,,DEODORANT-HB-LAVENDER ALOE,,,,,,1.70,,,OZ,,,,,,,2.25,,,,,,
3,0007834775041,,,1,,,NATURE'S GATE,,,,DEODORANT-HB-LEMONGRASS CLARY SAGE,,,,,,1.70,,,OZ,,,,,,,2.25,,,,,,
4,0007834775039,,,1,,,NATURE'S GATE,,,,DEODORANT-HB-TEA TREE BLUE CYPRESS,,,,,,1.70,,,OZ,,,,,,,2.25,,,,,,
5,0084132010433,,,1,,,ALAFFIA,,,,DEODORANT-COCONUT,,,,,,2.65,,,OZ,,,,,,,2.25,,,,,,
6,0084132010432,,,1,,,ALAFFIA,,,,DEODORANT-COCONUT BERGAMOT,,,,,,2.65,,,OZ,,,,,,,2.25,,,,,,
7,0084132010431,,,1,,,ALAFFIA,,,,DEODORANT-COCONUT VETIVER,,,,,,2.65,,,OZ,,,,,,,2.25,,,,,,
8,0084132010430,,,1,,,ALAFFIA,,,,DEODORANT-COCONUT LAVENDER,,,,,,2.65,,,OZ,,,,,,,2.25,,,,,,
9,0084132010491,,,1,,,ALAFFIA,,,,DEODORANT-MANDARIN GINGER,,,,,,2.65,,,OZ,,,,,,,2.25,,,,,,
10,0084132010490,,,1,,,ALAFFIA,,,,DEODORANT-LEMONGRASS TEA TREE,,,,,,2.65,,,OZ,,,,,,,2.25,,,,,,
11,0066738310504,,,1,,,NOURISH ORGANIC,,,,ORGANIC DEODORANT-ALMOND VANILLA,,,,,,2.20,,,OZ,,,,,,,2.30,,,,,,
