12,0085243400142,,,,1,,,MACRO LIFE NATURALS,,,,,,MACRO GREENS-COCO-KIDS,,,,,7.10,,,OZ,,,,,,,2.78,,,,,
13,0009746729968,,,,1,,,NATURE'S PLUS,,,,,,ANIMAL PARADE KID GREENZ,,,,,90.00,,,TAB,,,Mar 13 2016 1,,,,2.55,,,,,
14,0061309868349,,,,1,,,HERO NUTRITION,,,,,,YUMMI BEARS WHOLE FOOD ANTIOXIDANTS,,,,,90.00,,,CNT,,,Mar 13 2016 1,,,,3.30,,,,,
15,0061309868004,,,,1,,,HERO NUTRITION,,,,,,YUMMI BEARS WHOLE FOOD SUPPLEME,,,,,200.00,,,CNT,,,Mar 13 2016 1,,,,3.18,,,,,
16,0001605545676,,,,1,,,BURIED TREASURE,,,,,,ADDED ATTENTION,,,,,16.00,,,FOZ,,,Mar 13 2016 1,,,,2.78,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 2,   Length: 4' 0.00"",    Height: 0' 5.50"",   Depth: 1' 5.00"",   Product: 3' 11.85""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0007663590120,,,,1,,,SUPERIOR SOURCE,,,,,,CHILDRENS ECHINACEA & ZINC LOZENJETS,,,,,60.00,,,TAB,,,Mar 13 2016 1,,,,1.58,,,,,
2,0009090000070,,,,1,,,HERB PHARM,,,,,,KIDS ECHINACEA ALCOHOL FREE,,,,,1.00,,,FOZ,,,Mar 13 2016 1,,,,1.29,,,,,
3,0009070000308,,,,1,,,HERB PHARM,,,,,,KIDS IMMUNE AVENGER,,,,,1.00,,,FOZ,,,Apr 17 2016 1,,,,1.29,,,,,
4,0009070003083,,,,1,,,HERB PHARM,,,,,,KIDS IMMUNE FORTIFIER,,,,,1.00,,,FOZ,,,Apr 17 2016 1,,,,1.29,,,,,
5,0064667062060,,,,1,,,SPROUTS,,,,,,KIDS ECHINACEA PLUS BERRY FLAVOR,,,,,1.00,,,FOZ,,,,,,,1.29,,,,,
6,0064667062061,,,,1,,,SPROUTS,,,,,,KIDS BIOTIC BERRY FLAVOR,,,,,1.00,,,FOZ,,,,,,,1.29,,,,,
7,0064667063136,,,,1,,,SPROUTS,,,,,,KIDS COUGH,,,,,1.00,,,FOZ,,,Mar 13 2016 1,,,,1.29,,,,,
8,0064667062059,,,,1,,,SPROUTS,,,,,,KIDS EAR CLEAR OIL,,,,,1.00,,,FOZ,,,Mar 13 2016 1,,,,1.29,,,,,
9,0065649018501,,,,1,,,WISHGARDEN,,,,,,KICK IT IMMUNE,,,,,1.00,,,FOZ,,,Mar 13 2016 1,,,,1.29,,,,,
10,0002107801766,,,,1,,,SOURCE NATURALS,,,,,,WELLNESS HERBAL KIDS,,,,,2.00,,,FOZ,,,Mar 13 2016 1,,,,1.54,,,,,
11,0002107810321,,,,1,,,PLANETARY HERBALS,,,,,,WELL CHILD SYRUP ECHINACEA,,,,,2.00,,,OZ,,,Mar 13 2016 1,,,,1.54,,,,,
12,0065649055501,,,,1,,,WISHGARDEN,,,,,,SLEEPY NIGHTS-KIDS,,,,,1.00,,,FOZ,,,Mar 13 2016 1,,,,1.29,,,,,
13,0002107810076,,,,1,,,PLANETARY HERBALS,,,,,,CALM CHILD HERBAL SYRUP,,,,,2.00,,,FOZ,,,Mar 13 2016 1,,,,1.54,,,,,
14,0002107810015,,,,1,,,PLANETARY HERBALS,,,,,,CALM CHILD 440 MG,,,,,72.00,,,TAB,,,Mar 13 2016 1,,,,2.04,,,,,
15,0002124560221,,,,1,,,KAL,,,,,,RELAX-A-SAURUS-GRAPE,,,,,30.00,,,CHW,,,Mar 13 2016 1,,,,1.99,,,,,
Positio,,,,UPC,,Facings,,,,,,Brand,,,,,Long Description,,,,Size,,,UOM,,,,Date,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0074127300104,,,,1,,,NELSON BACH,,,,,,RESCUE REMEDY-KIDS,,,,,0.35,,,FOZ,,,Mar 13 2016 1,,,,2.00,,,,,
17,0035497331611,,,,1,,,HYLANDS,,,,,,4 KIDS CALM N RESTFUL,,,,,125.00,,,TAB,,,Mar 13 2016 1,,,,2.82,,,,,
18,0089718600223,,,,1,,,SIDDHA FLOWER ESSENCES,,,,,,ATTENTION & FOCUS-KIDS2+,,,,,1.00,,,FOZ,,,Mar 13 2016 1,,,,1.66,,,,,
19,0089718600222,,,,1,,,SIDDHA FLOWER ESSENCES,,,,,,TEMPER TAMER-KIDS2+,,,,,1.00,,,FOZ,,,Mar 13 2016 1,,,,1.65,,,,,
20,0089718600221,,,,1,,,SIDDHA FLOWER ESSENCES,,,,,,STRESS RELIEF-KIDS2+,,,,,1.00,,,FOZ,,,Mar 13 2016 1,,,,1.65,,,,,
21,0089718600224,,,,1,,,SIDDHA FLOWER ESSENCES,,,,,,SOOTHE & SLEEP,,,,,1.00,,,FOZ,,,Mar 13 2016 1,,,,1.65,,,,,
22,0073621155925,,,,1,,,BIORAY,,,,,,LIQUID HERBAL DROPS-NDF-FOCUS,,,,,2.00,,,FOZ,,,Mar 13 2016 1,,,,1.63,,,,,
23,0073621155935,,,,1,,,BIORAY,,,,,,LIQUID HERBAL DROPS-NDF-CALM,,,,,2.00,,,FOZ,,,Mar 13 2016 1,,,,1.63,,,,,
24,0073621155945,,,,1,,,BIORAY,,,,,,LIQUID HERBAL DROPS-NDF-HAPPY,,,,,2.00,,,FOZ,,,Mar 13 2016 1,,,,1.63,,,,,
25,0064685816001,,,,1,,,BIORAY,,,,,,NDF SLEEPY,,,,,2.00,,,FOZ,,,,,,,1.63,,,,,
26,0065801012071,,,,1,,,GARDEN OF LIFE,,,,,,DR. FRMLTD ATTENTION & FOCUS KIDS,,,,,60.00,,,CHW,,,,,,,2.32,,,,,
27,0060949263003,,,,1,,,MRM,,,,,,ATTENTION GELS ADVANCED BRAIN FO,,,,,90.00,,,SG,,,Mar 13 2016 1,,,,2.32,,,,,
28,0002107801214,,,,1,,,SOURCE NATURALS,,,,,,ATTENTIVE CHILD,,,,,60.00,,,WAF,,,Mar 13 2016 1,,,,2.58,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 3,   Length: 4' 0.00"",    Height: 0' 6.50"",   Depth: 1' 5.00"",   Product: 4' 0.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0060827410100,,,,1,,,CHILDLIFE,,,,,,ECHINACEA DROPS-ORANGE,,,,,1.00,,,FOZ,,,Mar 13 2016 1,,,,1.29,,,,,
2,0060827410150,,,,1,,,CHILDLIFE,,,,,,FIRST DEFENSE,,,,,4.00,,,OZ,,,Mar 13 2016 1,,,,1.93,,,,,
3,0060827410950,,,,1,,,CHILDLIFE,,,,,,FORMULA 3 COUGH SYRUP-BERRY,,,,,4.00,,,FOZ,,,Mar 13 2016 1,,,,1.93,,,,,
4,0060827410450,,,,1,,,CHILDLIFE,,,,,,ALLER CARE-GRAPE FLAVOR,,,,,4.00,,,OZ,,,Mar 13 2016 1,,,,1.94,,,,,
5,0037140071201,,,,1,,,BIO ALLERS,,,,,,CHILDRENS ALLERGY,,,,,1.00,,,OZ,,,Mar 13 2016 1,,,,1.70,,,,,
6,0030696904942,,,,1,,,BOIRON,,,,,,CHILDRENS COLDCALM,,,,,2.00,,,PK,,,Mar 13 2016 1,,,,3.75,,,,,
7,0030696903328,,,,2,,,BOIRON,,,,,,CHESTAL-HONEY-CHILDREN,,,,,6.70,,,FOZ,,,Mar 13 2016 1,,,,2.43,,,,,
8,0030807900393,,,,1,,,BOERICKE & TAFEL,,,,,,CHILDRENS COUGH & BRONCHIAL,,,,,4.00,,,FOZ,,,Mar 13 2016 1,,,,2.14,,,,,
9,0009484125614,,,,1,,,SIMILASAN,,,,,,KIDS COUGH & COLD RELIEF,,,,,4.00,,,FOZ,,,,,,,2.37,,,,,
10,0077815902078,,,,1,,,HOMEOLAB USA,,,,,,KIDS RELIEF-PAIN & FEVER,,,,,0.85,,,FOZ,,,Mar 13 2016 1,,,,2.40,,,,,
