Positio,,,UPC,,,,Facings,,,,Brand,,,,,Long Description,,,,Size,,,UOM,,,,,Date,,,,,Width,,,,
15,,0007852201555,,,,1,,,JASON,,,,,,MOUTHWASH-SEA FRESH,,,,16.00,,FOZ,,,,,,Feb 21 2016 1,,,,,3.60,,,,,
16,,0071413200078,,,,1,,,NATURAL DENTIST,,,,,,ORAL RINSE-PRE BRUSH-WHITENING,,,,16.90,,OZ,,,,,,Feb 21 2016 1,,,,,3.10,,,,,
17,,0071413200077,,,,1,,,NATURAL DENTIST,,,,,,ORAL RINSE-HEALTHY GUMS-ORANGE ZES,,,,16.90,,OZ,,,,,,Feb 21 2016 1,,,,,3.10,,,,,
18,,0071413200075,,,,1,,,NATURAL DENTIST,,,,,,ORAL RINSE-DAILY-HEALTHY GUMS,,,,16.90,,OZ,,,,,,Feb 21 2016 1,,,,,3.10,,,,,
19,,0071413200071,,,,1,,,NATURAL DENTIST,,,,,,MOUTH RINSE-COOL MINT,,,,16.90,,OZ,,,,,,Feb 21 2016 1,,,,,3.10,,,,,
20,,0007732645783,,,,1,,,TOMS OF MAINE,,,,,,MOUTHWASH-WHOLE CARE-FRESH MINT,,,,16.00,,FOZ,,,,,,,,,,,4.25,,,,,
21,,0007732647016,,,,1,,,TOMS OF MAINE,,,,,,MOUTHWASH-WICKED FRESH-PEPPERMINT WA,,,,16.00,,OZ,,,,,,Feb 21 2016 1,,,,,4.25,,,,,
22,,0007732646016,,,,1,,,TOMS OF MAINE,,,,,,MOUTHWASH-WICKED FRESH-COOL MT MINT,,,,16.00,,OZ,,,,,,Feb 21 2016 1,,,,,4.25,,,,,
23,,0007732683048,,,,1,,,TOMS OF MAINE,,,,,,MOUTHWASH-FLUORIDE RINSE-JUICY MINT,,,,16.00,,FOZ,,,,,,Feb 21 2016 1,,,,,4.25,,,,,
24,,0070059600128,,,,1,,,SPRY,,,,,,MOUTHWASH-KIDS-BUBBLEGUM,,,,16.00,,FOZ,,,,,,,,,,,3.50,,,,,
25,,0070059600122,,,,1,,,SPRY,,,,,,ORAL RINSE-SPEARMINT,,,,16.00,,FOZ,,,,,,Feb 21 2016 1,,,,,3.50,,,,,
26,,0070059600052,,,,1,,,SPRY,,,,,,ORAL RINSE-CLEAR,,,,16.00,,FOZ,,,,,,Feb 21 2016 1,,,,,3.50,,,,,
