Positio,,UPC,,,Facings,,,Brand,,,,Long Description,,,,Size,,,UOM,,,Date,,,,Width,,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0005138188511,,,1,,AURA CACIA,,,,,,MINERAL BATH-EUPHORIC YLANG YLANG,,,2.50,,,OZ,,,,,,4.40,,,,,,
5,0005138188517,,,1,,AURA CACIA,,,,,,MINERAL BATH-COMFORTING GERANIUM,,,2.50,,,OZ,,,,,,4.40,,,,,,
6,0005138188515,,,1,,AURA CACIA,,,,,,MINERAL BATH-WARMING BALSAM FIR,,,2.50,,,OZ,,,,,,4.40,,,,,,
7,0005138188509,,,1,,AURA CACIA,,,,,,MINERAL BATH-CLEARING EUCALYPTUS,,,2.50,,,OZ,,,,,,4.40,,,,,,
8,0005138191696,,,1,,AURA CACIA,,,,,,MINERAL BATH-MEDITATING CEDARWOOD,,,2.50,,,OZ,,,,,,4.40,,,,,,
9,0005138188519,,,1,,AURA CACIA,,,,,,MINERAL BATH-TRANQUIL CHAMOMILE,,,2.50,,,OZ,,,,,,4.40,,,,,,
10,0005138188579,,,1,,AURA CACIA,,,,,,LAVENDER- FOAM BATH,,,2.50,,,OZ,,,,,,4.40,,,,,,
11,0005138188576,,,1,,AURA CACIA,,,,,,FOAM BATH-CINNAMON YLANG YLANG,,,2.50,,,OZ,,,,,,4.40,,,,,,
12,0005138188578,,,1,,AURA CACIA,,,,,,FOAM BATH-PATHOULI ORANGE,,,2.50,,,OZ,,,,,,4.40,,,,,,
13,0005138188577,,,1,,AURA CACIA,,,,,,FOAM BATH-GINGER MINT,,,2.50,,,OZ,,,,,,4.40,,,,,,
14,0005138188596,,,1,,AURA CACIA,,,,,,FOAM BATH-KIDS-CALMING,,,2.50,,,OZ,,,,,,4.40,,,,,,
15,0005138188595,,,1,,AURA CACIA,,,,,,FOAM BATH-KIDS-CHEERING,,,2.50,,,OZ,,,,,,4.40,,,,,,
Positio,,,UPC,,Facings,,,,Brand,,,,Long Description,,,,Size,,,UOM,,,Date,,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0005138188597,,,1,,AURA CACIA,,,,,,FOAM BATH-KIDS-CLEARING,,,2.50,,,OZ,,,,,,4.40,,,,,,
17,0085829300208,,,1,,SEAWEED BATH CO.,,,,,,POWDER BATH-LAVENDER,,,2.00,,,OZ,,,,,,4.00,,,,,,
18,0085829300207,,,1,,SEAWEED BATH CO.,,,,,,POWDER BATH-EUCALYPTUS & PEPPERMINT,,,2.00,,,OZ,,,,,,4.00,,,,,,
19,0064667046558,,,1,,SPROUTS,,,,,,BATH BOMB-LVNDR VNILLA-RELAXING,,,3.40,,,OZ,,,,,,2.25,,,,,,
20,0064667046565,,,1,,SPROUTS,,,,,,BATH BOMB-ROSE PETAL-REJUVINATNG,,,3.40,,,OZ,,,,,,2.25,,,,,,
21,0064667046561,,,1,,SPROUTS,,,,,,BATH BOMB-SHEA BTTR & ALMND-HYDRATNG,,,3.40,,,OZ,,,,,,2.25,,,,,,
22,0064667046564,,,1,,SPROUTS,,,,,,BATH BOMB-COCONUT-SOOTHING,,,3.40,,,OZ,,,,,,2.25,,,,,,
23,0064667046560,,,1,,SPROUTS,,,,,,BATH BOMB-ROSEMARY MNT-INVIGORATNG,,,3.40,,,OZ,,,,,,2.25,,,,,,
24,0064667046563,,,1,,SPROUTS,,,,,,BATH BOMB-GRN TEA & SEA SLT-REFRSHNG,,,3.40,,,OZ,,,,,,2.25,,,,,,
25,0064667046559,,,1,,SPROUTS,,,,,,BATH BOMB-GRAPEFRUIT BERGAMOT-UPLIFT,,,3.40,,,OZ,,,,,,2.25,,,,,,
26,0064667046566,,,1,,SPROUTS,,,,,,BATH BOMB-CHARCOAL-DETOXIFYING,,,3.40,,,OZ,,,,,,2.25,,,,,,
27,0064667046562,,,1,,SPROUTS,,,,,,BATH BOMB-ORNG BLOSSOM-NOURISHING,,,3.40,,,OZ,,,,,,2.25,,,,,,
28,0087977900311,,,1,,HUGO NATURAL BOTANICAL,,,,,,BATH BOMB-LAVENDER & VANILLA,,,6.00,,,OZ,,,,,,2.55,,,,,,
29,0087977900308,,,1,,HUGO NATURAL BOTANICAL,,,,,,BATH BOMB-ROSE & SANDLEWOOD,,,6.00,,,OZ,,,,,,2.55,,,,,,
30,0087977900305,,,1,,HUGO NATURAL BOTANICAL,,,,,,BATH BOMB-EUCALYPTUS ROSEMARY & MINT,,,6.00,,,OZ,,,,,,2.55,,,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 3,   Length: 8' 0.00"",    Height: 0' 9.50"",   Depth: 1' 1.00"",   Product: 7' 11.83""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0085829300218,,,1,,SEAWEED BATH CO.,,,,,,BODY WASH-EUCALYPTUS & PEPPERMINT,,,12.00,,,FOZ,,,,,,2.15,,,,,,
2,0085829300216,,,2,,SEAWEED BATH CO.,,,,,,BODY WASH-CITRUS VANILLA,,,12.00,,,FOZ,,,,,,2.15,,,,,,
3,0064595183084,,,1,,LIFEFLO,,,,,,BODY WASH-MAGNESIUM,,,16.00,,,FOZ,,,,,,2.45,,,,,,
4,0064595118209,,,1,,LIFEFLO,,,,,,BATH OIL SOAK-LAVENDER,,,16.00,,,FOZ,,,,,,2.45,,,,,,
5,0065474936302,,,1,,AVALON ORGANICS,,,,,,ECZEMA RELIEF GENTLE CLEANSER,,,12.00,,,FOZ,,,,,,2.38,,,,,,
6,0083578700038,,,1,,NATRALIA,,,,,,WASH & SHAMPOO-ECZEMA & PSORIASIS,,,7.00,,,FOZ,,,,,,2.55,,,,,,
7,0031885810624,,,1,,HOME HEALTH,,,,,,BODY WASH-PSORIASIL,,,8.00,,,FOZ,,,,,,2.00,,,,,,
8,0081265901122,,,1,,SOOTHING TOUCH,,,,,,OIL-ORG-BATH BODY & MASSAGE-LAVENDER,,,4.00,,,FOZ,,,,,,1.55,,,,,,
9,0081265901123,,,1,,SOOTHING TOUCH,,,,,,OIL-ORG-BATH BODY & MASSAGE-PEPPRMNT,,,4.00,,,FOZ,,,,,,1.55,,,,,,
10,0081265901166,,,1,,SOOTHING TOUCH,,,,,,OIL-ORG-BATH BODY & MASSAGE-SANDALWD,,,4.00,,,FOZ,,,,,,1.55,,,,,,
11,0081265901121,,,1,,SOOTHING TOUCH,,,,,,SALT SCRUB-LAVENDER-ORGANIC,,,10.00,,,OZ,,,,,,3.70,,,,,,
12,0081265901170,,,1,,SOOTHING TOUCH,,,,,,SUGAR SCRUB-CHOC PEPERMNT-ORGANIC,,,8.00,,,OZ,,,,,,3.70,,,,,,
13,0076430212222,,,1,,NUBIAN HERITAGE,,,,,,SCRUB-HAND & BODY-PATCHOULI & BURITI,,,12.00,,,OZ,,,,,,3.75,,,,,,
14,0076430211142,,,1,,NUBIAN HERITAGE,,,,,,SCRUB-HAND & BODY-HEMP & VETIVER,,,12.00,,,OZ,,,,,,3.75,,,,,,
15,0072474200818,,,1,,ALBA BOTANICA,,,,,,BODY SCRUB-SEA SALT,,,14.50,,,OZ,,,,,,3.60,,,,,,
