5,0007430680055,,,,1,,,VIBRANT HEALTH,,,,,ORGANIC VIBRANT CLEANSE,,,,0.53,,,OZ,,,,,,,3.25,,,,,
6,0007430680056,,,,1,,,VIBRANT HEALTH,,,,,VIBRANT CLEANSE-ORG,,,,7.94,,,OZ,,,,,,,3.25,,,,,
7,0007430680054,,,,1,,,VIBRANT HEALTH,,,,,VIBRANT CLEANSE-ORG,,,,12.70,,,OZ,,,,,,,3.65,,,,,
8,0006895807155,,,,1,,,NATURAL FACTORS,,,,,REVITAL X DETOXITECH KIT POWDE,,,,1.00,,,KIT,,,,,,,8.10,,,,,
9,0076570450466,,,,1,,,HERBS ETC,,,,,ESSIAC TONIC,,,,60.00,,,SG,,,Feb 21 2016 1,,,,2.00,,,,,
10,0076570411202,,,,1,,,HERBS ETC,,,,,ESSIAC TONIC,,,,2.00,,,FOZ,,,Feb 21 2016 1,,,,2.90,,,,,
11,0006199868070,,,,1,,,FLORA,,,,,FLOR ESSENCE LIQUID,,,,17.00,,,FOZ,,,Feb 21 2016 1,,,,3.00,,,,,
12,0006199868072,,,,1,,,FLORA,,,,,FLOR ESSENCE,,,,32.00,,,FOZ,,,,,,,3.65,,,,,
13,0060886634337,,,,1,,,SOLARAY,,,,,CAMAS PRAIRIE TEA,,,,4.00,,,OZ,,,Feb 21 2016 1,,,,3.37,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 3,   Length: 4' 0.00"",    Height: 0' 6.50"",   Depth: 1' 1.00"",   Product: 3' 11.91""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0075106314592,,,,1,,GAIA HERBS,,,,,,TRIPHALA FRUIT,,,,60.00,,,VCP,,,,,,2.25,,,,,,
2,0064667062134,,,,1,,SPROUTS,,,,,,TRIPHALA POWDER CAP,,,,90.00,,,VCP,,,,,,2.20,,,,,,
3,0085146900017,,,,1,,ORGANIC INDIA,,,,,,TRIPHALA,,,,90.00,,,VCP,,,,,,2.25,,,,,,
Positio,,,,UPC,,Facings,,,,,Brand,,,,Long Description,,,,Size,,,UOM,,,Date,,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0002107810032,,,,1,,PLANETARY HERBALS,,,,,,TRIPHALA-1000 MG,,,,90.00,,,TAB,,,,,,2.40,,,,,,
5,0002107810066,,,,1,,PLANETARY HERBALS,,,,,,TRIPHALA-1000 MG,,,,180.00,,,TAB,,,,,,2.90,,,,,,
6,0007628000120,,,,1,,SOLARAY,,,,,,ALOE VERA GEL 2000 MG,,,,100.00,,,CAP,,,,,,2.00,,,,,,
7,0003367410150,,,,1,,NATURE'S WAY,,,,,,ALOE VERA,,,,100.00,,,VCP,,,,,,2.05,,,,,,
8,0003367400900,,,,1,,NATURE'S WAY,,,,,,ALOELAX,,,,100.00,,,VCP,,,,,,2.05,,,,,,
9,0003367400142,,,,1,,NATURE'S WAY,,,,,,ALOE MAXLAX,,,,100.00,,,VCP,,,,,,2.05,,,,,,
10,0003367417000,,,,1,,NATURE'S WAY,,,,,,SENNA LEAF,,,,100.00,,,VCP,,,,,,2.05,,,,,,
11,0003367411308,,,,1,,NATURE'S WAY,,,,,,CASCARA SAGRADA,,,,180.00,,,VCP,,,,,,2.60,,,,,,
12,0075283067778,,,,1,,BIORAY,,,,,,GOOD TO GO,,,,2.00,,,FOZ,,,,,,1.65,,,,,,
13,0085376000263,,,,1,,LIFESEASONS,,,,,,IB SOOTH-R,,,,60.00,,,VCP,,,,,,2.25,,,,,,
14,0004064700625,,,,1,,NATURE'S LIFE,,,,,,HERBS AND PRUNES LAXATIVE,,,,100.00,,,TAB,,,,,,2.00,,,,,,
15,0075106399621,,,,1,,GAIA HERBS,,,,,,NATURAL LAXATIVE,,,,90.00,,,TAB,,,,,,2.05,,,,,,
16,0007991103241,,,,1,,NATURADE,,,,,,STOOL SOFTENER,,,,60.00,,,TAB,,,,,,1.70,,,,,,
17,0007582016212,,,,2,,SWISSKRISS,,,,,,HERBAL LAXATIVE TABS,,,,120.00,,,TAB,,,,,,1.90,,,,,,
18,0007582018630,,,,2,,SWISSKRISS,,,,,,HERBAL LAXATIVE TABS,,,,250.00,,,TAB,,,,,,2.30,,,,,,
19,0007582015835,,,,1,,SWISSKRISS,,,,,,HERBAL LAXATIVE FLAKES,,,,3.25,,,OZ,,,,,,3.80,,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 4,   Length: 4' 0.00"",    Height: 0' 7.50"",   Depth: 1' 1.00"",   Product: 4' 0.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0007628008362,,,,1,,SOLARAY,,,,,,TOTAL CLEANSE COLON,,,,60.00,,,CAP,,,,,,2.00,,,,,,
2,0064667062025,,,,1,,SPROUTS,,,,,,COLON CLEAN POWDER CAP,,,,90.00,,,VCP,,,,,,2.25,,,,,,
3,0071036356835,,,,1,,IRWIN NATURALS,,,,,,DAILY GENTLE CLEANSE DIGESTION,,,,60.00,,,SG,,,,,,2.60,,,,,,
4,0071036358307,,,,1,,IRWIN NATURALS,,,,,,ACTIVE CLEANSE & PROBIOTICS,,,,60.00,,,SG,,,,,,2.60,,,,,,
5,0004635200206,,,,1,,YERBA PRIMA,,,,,,COLON CARE,,,,180.00,,,CAP,,,,,,2.75,,,,,,
6,0004635200204,,,,1,,YERBA PRIMA,,,,,,COLON CARE FORMULA,,,,12.00,,,OZ,,,,,,3.20,,,,,,
7,0063125753440,,,,1,,RENEW LIFE,,,,,,CLEANSE MORE,,,,60.00,,,VCP,,,,,,2.00,,,,,,
8,0063125753546,,,,1,,RENEW LIFE,,,,,,BOWEL CLEANSE-ORGANIC,,,,150.00,,,CAP,,,,,,2.55,,,,,,
9,0063125715426,,,,1,,RENEW LIFE,,,,,,3 DAY CLEANSE TOTAL BODY RESET,,,,1.00,,,EA,,,,,,3.40,,,,,,
10,0073239150083,,,,1,,NATURE'S SECRET,,,,,,SUPER CLEANSE,,,,100.00,,,TAB,,,,,,2.35,,,,,,
11,0073239150133,,,,1,,NATURE'S SECRET,,,,,,SUPER CLEANSE ECONOMY,,,,200.00,,,TAB,,,,,,2.95,,,,,,
12,0008350208763,,,,1,,HEALTH PLUS,,,,,,COLON CLEANSE CAPS-2,,,,200.00,,,CAP,,,,,,2.85,,,,,,
13,0008350212345,,,,1,,HEALTH PLUS,,,,,,COLON CLEANSE JAR,,,,12.00,,,OZ,,,,,,3.75,,,,,,
14,0008350208764,,,,1,,HEALTH PLUS,,,,,,SUPER COLON CLEANSE,,,,120.00,,,CAP,,,,,,2.40,,,,,,
15,0008350208765,,,,1,,HEALTH PLUS,,,,,,SUPER COLON CLEANSE,,,,240.00,,,CAP,,,,,,2.85,,,,,,
16,0008350209876,,,,1,,HEALTH PLUS,,,,,,SUPER COLON CLEANSE,,,,12.00,,,OZ,,,,,,3.75,,,,,,
17,0008350212347,,,,1,,HEALTH PLUS,,,,,,COLON CLEANSE-ORG,,,,12.00,,,OZ,,,,,,3.75,,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positio,,,,UPC,,Facings,,,,,Brand,,,,Long Description,,,,Size,,,UOM,,,Date,,,,Width,,,
"-----------
Totals:",,,"--------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------
17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
