Positio,,,UPC,,,Facings,,,Brand,,,,Long Description,,,,Size,,,UOM,,,Date,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0063408447500,,,,1,,,BADGER BALM,,,,SPF 30 BABY SUNSCREEN CREAM,,,,2.90,,,FOZ,,,,,,2.40,,,,
6,0063408447801,,,,2,,,BADGER BALM,,,,KIDS SUNSCREEN CREAM-SPF 30,,,,2.90,,,FOZ,,,,,,2.40,,,,
7,0079285089606,,,,1,,,BURTS BEES,,,,SUNSCREEN-BABY-SPF 30,,,,3.00,,,OZ,,,,,,2.10,,,,
8,0072474200399,,,,2,,,ALBA BOTANICA,,,,SUNSCREEN-VE KIDS SPF 45,,,,4.00,,,OZ,,,,,,3.00,,,,
9,0002836784344,,,,1,,,KISS MY FACE,,,,SUNSCREEN-LOTION-BABYS-SPF 50,,,,4.00,,,FOZ,,,,,,3.00,,,,
10,0002836784197,,,,2,,,KISS MY FACE,,,,KIDS DEFENSE SPRAY SUNSCREEN SPF 50,,,,6.00,,,FOZ,,,,,,2.10,,,,
11,0089806200151,,,,1,,,GODDESS GARDEN,,,,SUNSCREEN-BABY NATURAL-SPF 30,,,,3.40,,,OZ,,,,,,3.00,,,,
12,0089806200140,,,,1,,,GODDESS GARDEN,,,,SUNSCREEN-NATURAL-KIDS-SPF 30,,,,6.00,,,OZ,,,,,,3.00,,,,
13,0089806200158,,,,1,,,GODDESS GARDEN,,,,SUNSCREEN-NATURAL-SPRAY-KIDS-SPF 30,,,,6.00,,,OZ,,,,,,2.10,,,,
14,0089806200166,,,,2,,,GODDESS GARDEN,,,,SUNSCREEN-NATURAL-KIDS SPORT-SPF 30,,,,6.00,,,OZ,,,,,,2.10,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,
Positio,,,,UPC,,,Facings,,,Brand,,,,Long Description,,,,Size,,,UOM,,,Date,,,Width,,
"-----------
Totals:",,"--------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------
19",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 3,   Length: 4' 0.00"",    Height: 0' 9.50"",   Depth: 1' 6.00"",   Product: 3' 11.95""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0018713200580,,,,1,,,EVERY DAY SHEA,,,,SHAMPOO-BODY WASH-SHEA BUTTER,,,,16.00,,,FOZ,,,,,,2.85,,,,
2,0018713200581,,,,1,,,EVERY DAY SHEA,,,,CONDITIONER & DETANGLER-SHEA BUTTER,,,,16.00,,,FOZ,,,,,,2.85,,,,
3,0018713200584,,,,1,,,EVERY DAY SHEA,,,,KIDS-LOTION-BABY-SHEA BUTTER,,,,16.00,,,FOZ,,,,,,2.85,,,,
4,0018713200582,,,,1,,,EVERY DAY SHEA,,,,KIDS-BUBBLE BATH-LEMON LAVENDER,,,,32.00,,,FOZ,,,,,,3.55,,,,
5,0018713200583,,,,1,,,EVERY DAY SHEA,,,,KIDS-BUBBLE BATH-EUCALYPTUS MINT,,,,32.00,,,FOZ,,,,,,3.55,,,,
6,0084132010780,,,,1,,,EVERYDAY COCONUT,,,,SHAMPOO BODY WASH-COCONUT CHAM,,,,16.00,,,FOZ,,,,,,2.85,,,,
7,0084132010781,,,,1,,,EVERYDAY COCONUT,,,,LOTION-COCONUT CHAMOMILE,,,,16.00,,,FOZ,,,,,,2.85,,,,
8,0084132010782,,,,1,,,EVERYDAY COCONUT,,,,BUBBLE BATH-COCONUT CHAMOMILE,,,,32.00,,,FOZ,,,,,,3.55,,,,
9,0084132010784,,,,1,,,EVERYDAY COCONUT,,,,SHAMPOO BODY WASH- COCONUT STRAWBERR,,,,16.00,,,FOZ,,,,,,2.85,,,,
10,0084132010785,,,,1,,,EVERYDAY COCONUT,,,,LOTION-COCONUT STRAWBERRY,,,,16.00,,,FOZ,,,,,,2.85,,,,
11,0084132010783,,,,1,,,EVERYDAY COCONUT,,,,BUBBLE BATH-COCONUT STRAWBERRY,,,,32.00,,,FOZ,,,,,,3.55,,,,
12,0063687422006,,,,1,,,EVERYONE,,,,SOAP-EVERYONE-KIDS-LAVENDER,,,,32.00,,,FOZ,,,,,,3.70,,,,
13,0063687422002,,,,1,,,EVERYONE,,,,SOAP-EVERYONE-KIDS-ORANGE,,,,32.00,,,FOZ,,,,,,3.70,,,,
14,0063687422003,,,,1,,,EVERYONE,,,,SOAP-EVERYONE-KIDS-TROPICAL,,,,32.00,,,FOZ,,,,,,3.70,,,,
15,0007834703282,,,,1,,,NATURE'S GATE,,,,BABY SOOTHING SHAMPOO & WASH,,,,18.00,,,FOZ,,,,,,2.70,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 4,   Length: 4' 0.00"",    Height: 0' 9.50"",   Depth: 1' 6.00"",   Product: 3' 11.95""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0001878750091,,,,1,,,DR BRONNERS,,,,BABY-UNSCENTED-MAGIC BALM,,,,2.00,,,OZ,,,,,,2.75,,,,
2,0001878776216,,,,2,,,DR BRONNERS,,,,LIQUID SOAP-UNSCENTED,,,,16.00,,,FOZ,,,,,,2.45,,,,
3,0001878777232,,,,2,,,DR BRONNERS,,,,SOAP-LIQUID-ORG-UNSCENTED,,,,32.00,,,FOZ,,,,,,3.20,,,,
4,0001878750089,,,,1,,,DR BRONNERS,,,,BABY GIFT SET,,,,1.00,,,EA,,,,,,5.35,,,,
5,0007732683353,,,,1,,,TOMS OF MAINE,,,,SHAMPOO WASH-BABY-FRAG FREE,,,,10.00,,,FOZ,,,,,,2.10,,,,
6,0007732683354,,,,1,,,TOMS OF MAINE,,,,SHAMPOO WASH-BABY-LIGHTLY SCENTED,,,,10.00,,,FOZ,,,,,,2.10,,,,
7,0007732683351,,,,1,,,TOMS OF MAINE,,,,LOTION-MOISTURIZING-BABY-FRAG FREE,,,,6.00,,,OZ,,,,,,3.00,,,,
8,0007732683352,,,,1,,,TOMS OF MAINE,,,,LOTION-MOISTURIZING-BABY-LTLY SCENT,,,,6.00,,,OZ,,,,,,3.00,,,,
9,0007732683356,,,,1,,,TOMS OF MAINE,,,,DIAPER CREAM-BABY-FRAGRANCE FREE,,,,3.00,,,OZ,,,,,,2.40,,,,
10,0007732683355,,,,1,,,TOMS OF MAINE,,,,SUNSCREEN LOTION-BABY-FRAG FREE,,,,3.00,,,OZ,,,,,,2.40,,,,
11,0400163809651,,,,1,,,WELEDA,,,,CALENDULA SHAMPOO & BODY WASH,,,,6.80,,,OZ,,,,,,2.60,,,,
12,0400163809653,,,,1,,,WELEDA,,,,CALENDULA BODY LOTION,,,,6.80,,,OZ,,,,,,2.80,,,,
13,0400163809652,,,,1,,,WELEDA,,,,CALENDULA BABY BODY CREAM,,,,2.50,,,OZ,,,,,,2.10,,,,
14,0400163809661,,,,1,,,WELEDA,,,,CALENDULA FACE CREAM-BABY,,,,1.70,,,FOZ,,,,,,2.00,,,,
15,0400163808813,,,,1,,,WELEDA,,,,CALENDULA DIAPER RASH CREAM,,,,2.80,,,OZ,,,,,,2.00,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,
Positio,,,,UPC,,,Facings,,,Brand,,,,Long Description,,,,Size,,,UOM,,,Date,,,Width,,
"-----------
Totals:",,"--------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------
17",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 5,   Length: 4' 0.00"",    Height: 0' 8.50"",   Depth: 1' 6.00"",   Product: 3' 11.86""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0081781001463,,,,1,,,THE HONEST COMPANY,,,,RUB-BREATHE EASY-ORGANIC,,,,1.80,,,OZ,,,,,,2.01,,,,
2,0063779280050,,,,1,,,TEA TREE THERAPY,,,,CHEST RUB-EUCALYPTUS,,,,2.00,,,OZ,,,,,,2.15,,,,
3,0063687422223,,,,1,,,EVERYONE,,,,WASH-BABY-CHAMOMILE LAVENDER,,,,12.75,,,FOZ,,,,,,2.65,,,,
4,0063687422225,,,,1,,,EVERYONE,,,,LOTION-BABY-CHAMOMILE LAVENDER,,,,8.00,,,FOZ,,,,,,2.30,,,,
5,0063687422222,,,,1,,,EVERYONE,,,,WASH-BABY-CALENDULA-OAT,,,,12.75,,,FOZ,,,,,,2.65,,,,
6,0063687422224,,,,1,,,EVERYONE,,,,LOTION-BABY-UNSCENTED,,,,8.00,,,FOZ,,,,,,2.30,,,,
7,0063687422226,,,,1,,,EVERYONE,,,,BABY OIL-ORG,,,,4.00,,,FOZ,,,,,,1.70,,,,
8,0063687422227,,,,1,,,EVERYONE,,,,BABY WIPES-UNSCENTED,,,,30.00,,,PK,,,,,,3.70,,,,
9,0079285074399,,,,1,,,BURTS BEES,,,,SHAMPOO & WASH-BABY BEE,,,,12.00,,,FOZ,,,,,,2.25,,,,
10,0079285000383,,,,1,,,BURTS BEES,,,,BABY BEE FRAGRANCE FREE SHAMPOO & WA,,,,12.00,,,FOZ,,,,,,2.25,,,,
11,0079285033699,,,,1,,,BURTS BEES,,,,BUBBLE BATH-BABY BEE,,,,12.00,,,OZ,,,,,,2.60,,,,
12,0079285001010,,,,1,,,BURTS BEES,,,,LOTION-NOURISHING-BABY BEE,,,,6.00,,,OZ,,,,,,3.00,,,,
13,0079285001020,,,,1,,,BURTS BEES,,,,BABY BEE NOURISHING CALMING LOTION,,,,6.00,,,OZ,,,,,,3.00,,,,
14,0079285074999,,,,1,,,BURTS BEES,,,,DUSTING POWDER-BABY BEE,,,,7.50,,,OZ,,,,,,2.50,,,,
15,0079285003050,,,,1,,,BURTS BEES,,,,OINTMENT-DIAPER RASH,,,,3.00,,,OZ,,,,,,2.40,,,,
16,0079285071299,,,,1,,,BURTS BEES,,,,BABY OIL-NOURISHING-BABY BEE,,,,4.00,,,FOZ,,,,,,2.00,,,,
17,0079285001331,,,,1,,,BURTS BEES,,,,BABY BEE MULTIPURPOSE OINTMENT,,,,7.50,,,OZ,,,,,,3.40,,,,
18,0079285000415,,,,1,,,BURTS BEES,,,,BABY BEE WIPES-FRAGRANCE FREE,,,,72.00,,,CNT,,,,,,9.00,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 6,   Length: 4' 0.00"",    Height: 1' 0.00"",   Depth: 1' 6.00"",   Product: 3' 11.87""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0081781001259,,,,1,,,THE HONEST COMPANY,,,,HAND SANITIZER-SPRAY-GRPFRUIT GROVE,,,,2.00,,,FOZ,,,,,,1.30,,,,
2,0081781001011,,,,1,,,THE HONEST COMPANY,,,,HAND SANITIZER-GEL-GRAPEFRUIT GROVE,,,,8.00,,,FOZ,,,,,,2.35,,,,
3,0081781001219,,,,1,,,THE HONEST COMPANY,,,,CONDITIONING DETANGLER,,,,4.00,,,FOZ,,,,,,1.52,,,,
4,0081781001217,,,,1,,,THE HONEST COMPANY,,,,SHAMPOO & BODY WASH-SWT ORANGE VAN,,,,10.00,,,FOZ,,,,,,2.12,,,,
5,0081781001218,,,,1,,,THE HONEST COMPANY,,,,CONDITIONER-SWEET ORANGE VANILLA,,,,8.50,,,FOZ,,,,,,2.12,,,,
6,0081781001007,,,,1,,,THE HONEST COMPANY,,,,BUBBLE BATH-SWEET ORANGE VANILLA,,,,12.00,,,FOZ,,,,,,2.40,,,,
7,0081781002707,,,,1,,,THE HONEST COMPANY,,,,LOTION-GENTLE-SWEET ORNGE VANILLA,,,,8.50,,,FOZ,,,,,,2.93,,,,
8,0081781002702,,,,1,,,THE HONEST COMPANY,,,,SHAMPOO&BODYWASH-NOURISHING-APRICOT,,,,10.00,,,FOZ,,,,,,2.12,,,,
9,0081781002705,,,,1,,,THE HONEST COMPANY,,,,CONDITIONER-NOURISHING-APRICOT,,,,10.00,,,FOZ,,,,,,2.12,,,,
10,0081781002712,,,,1,,,THE HONEST COMPANY,,,,BUBBLE BATH-NOURISHING-APRICOT,,,,12.00,,,FOZ,,,,,,2.40,,,,
11,0081781002709,,,,1,,,THE HONEST COMPANY,,,,LOTION-NOURISHING-APRICOT,,,,8.50,,,FOZ,,,,,,2.93,,,,
12,0081781002701,,,,1,,,THE HONEST COMPANY,,,,SHAMPOO&BODYWASH-CALMING-LAVENDER,,,,10.00,,,FOZ,,,,,,2.12,,,,
13,0081781002704,,,,1,,,THE HONEST COMPANY,,,,CONDITIONER-CALMING-LAVENDER,,,,10.00,,,FOZ,,,,,,2.12,,,,
Positio,,,,UPC,,,Facings,,,Brand,,,,Long Description,,,,Size,,,UOM,,,Date,,,Width,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0081781002711,,,,1,,,THE HONEST COMPANY,,,,BUBBLE BATH-CALMING-LAVENDER,,,,12.00,,,FOZ,,,,,,2.40,,,,
15,0081781002708,,,,1,,,THE HONEST COMPANY,,,,LOTION-CALMING-LAVENDER,,,,8.50,,,FOZ,,,,,,2.93,,,,
16,0081781001220,,,,1,,,THE HONEST COMPANY,,,,FACE & BODY LOTION-UNSCENTED,,,,8.50,,,FOZ,,,,,,2.93,,,,
17,0081781001456,,,,1,,,THE HONEST COMPANY,,,,DIAPER RASH CREAM,,,,2.50,,,OZ,,,,,,1.64,,,,
18,0081781001223,,,,1,,,THE HONEST COMPANY,,,,BODY OIL-ORGANIC,,,,4.00,,,FOZ,,,,,,1.56,,,,
19,0081042503015,,,,1,,,THE HONEST COMPANY,,,,ORGANIC ALL PURPOSE BALM,,,,3.40,,,OZ,,,,,,2.35,,,,
20,0081781001186,,,,1,,,THE HONEST COMPANY,,,,WIPES,,,,72.00,,,CNT,,,,,,9.74,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,
