7,0081640102002,,,,1,,,ANCIENT NUTRITION,,,,,BONE BROTH PROTEIN-CHOCOLATE,,,,,17.80,,,OZ,,,,,,,,4.98,,,,,,,
8,0081640102003,,,,1,,,ANCIENT NUTRITION,,,,,BONE BROTH-PROTEIN-TURMERIC,,,,,16.20,,,OZ,,,,,,,,4.98,,,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 3,   Length: 4' 0.00"",    Height: 0' 7.50"",   Depth: 1' 1.10"",   Product: 3' 11.95""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0064667068225,,,,3,,,SPROUTS,,,,,COLLAGEN-GRASS-FED-UNFLAVORED,,,,,14.10,,,OZ,,,,,,,,4.22,,,,,,,
2,0081570902313,,,,1,,,BULLETPROOF,,,,,PROTEIN-COLLAGEN-UNFLAVORED,,,,,17.60,,,OZ,,,,,,,,4.99,,,,,,,
3,0081570902281,,,,1,,,BULLETPROOF,,,,,PROTEIN-POWDER-COLLAGEN-VANILLA,,,,,17.60,,,OZ,,,,,,,,4.99,,,,,,,
4,0081570902282,,,,1,,,BULLETPROOF,,,,,PROTEIN-POWDER-COLLAGEN-CHOCOLATE,,,,,17.60,,,OZ,,,,,,,,4.99,,,,,,,
5,0085810900611,,,,2,,,ANCIENT NUTRITION,,,,,PROTEIN-MULTI COLLAGEN-POWDER,,,,,16.20,,,OZ,,,,,,,,4.98,,,,,,,
6,0081640102004,,,,1,,,ANCIENT NUTRITION,,,,,BONE BROTH COLLAGEN-PURE,,,,,15.90,,,OZ,,,,,,,,4.98,,,,,,,
7,0081640102039,,,,1,,,ANCIENT NUTRITION,,,,,BONE BROTH COLLAGEN-VANILLA,,,,,18.20,,,OZ,,,,,,,,4.98,,,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 4,   Length: 4' 0.00"",    Height: 0' 7.50"",   Depth: 1' 1.00"",   Product: 3' 11.95""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0085023200525,,,,1,,,VITAL PROTEINS,,,,,COLLAGEN-MARINE-UNFLAVORED-PKT,,,,,0.35,,,OZ,,,,,,,,1.30,,,,,,,
2,0085023200540,,,,1,,,VITAL PROTEINS,,,,,COLLAGEN-MARINE-UNFLAVORED-CS,,,,,7.00,,,OZ,,,,,,,,4.05,,,,,,,
Positio,,,,UPC,,Facings,,,,,Brand,,,,,,Long Description,,,Size,,,,UOM,,,,Date,,,,Width,,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0085023200548,,,,1,,,VITAL PROTEINS,,,,,COLLAGEN-MARINE-UNFLAVORED,,,,,7.80,,,OZ,,,,,,,,3.70,,,,,,,
4,0085023200524,,,,1,,,VITAL PROTEINS,,,,,COLLAGEN PEPTIDES-UNFLAVORED-0.35OZ,,,,,0.35,,,OZ,,,,,,,,1.30,,,,,,,
5,0085023200539,,,,1,,,VITAL PROTEINS,,,,,COLLAGEN PEPTIDES-STICK PACK-BOX,,,,,20.00,,,EA,,,,,,,,4.05,,,,,,,
6,0085023200509,,,,1,,,VITAL PROTEINS,,,,,COLLAGEN PEPTIDES-UNFLAVORED-10OZ,,,,,10.00,,,OZ,,,,,,,,3.70,,,,,,,
7,0085023200508,,,,2,,,VITAL PROTEINS,,,,,COLLAGEN PEPTIDES-UNFLAVORED-20OZ,,,,,20.00,,,OZ,,,,,,,,5.00,,,,,,,
8,0085023200560,,,,1,,,VITAL PROTEINS,,,,,COLLAGEN-GREENS-SPORTS,,,,,21.30,,,OZ,,,,,,,,5.00,,,,,,,
