"Project Type: Reset 04/02/2018 Buyer: Danielle Minchella x643 Analyst: Megan McDermott x322
Location(s):
Notes:",,,,,,,,,"9/13/2018
HBA Department
26445 Sun Care-Aloe-Bug-04' H-Released
",,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 1",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 7:  Height 0' 10.00"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 6:  Height 0' 7.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 5:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 4:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 3:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 2:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 1:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,First,,,Product,,,
Positio,,UPC,,,Facings,,Brand,,,,Long Description,,,,Size,,,UOM,,,,Date,,,Width,,,
"Shelf: 2,   Length: 4' 0.00"",    Height: 0' 9.50"",   Depth: 1' 1.00"",   Product: 3' 11.89""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0081452702087,,,1,,GODDESS GARDEN,,,,SUNSCREEN-BABY-STICK-NATURAL-SPF 30,,,,0.60,,,OZ,,,,,,,3.00,,,,
2,0089806200151,,,1,,GODDESS GARDEN,,,,SUNSCREEN-BABY NATURAL-SPF 30,,,,3.40,,,OZ,,,,May  1 2016 1,,,3.00,,,,
3,0081452702089,,,1,,GODDESS GARDEN,,,,SUNSCREEN-KIDS-STICK-NATURAL-SPF 30,,,,0.60,,,OZ,,,,,,,3.00,,,,
4,0089806200166,,,2,,GODDESS GARDEN,,,,SUNSCREEN-NATURAL-KIDS SPORT-SPF 30,,,,6.00,,,OZ,,,,May  1 2016 1,,,2.10,,,,
5,0089806200140,,,2,,GODDESS GARDEN,,,,SUNSCREEN-NATURAL-KIDS-SPF 30,,,,6.00,,,OZ,,,,May  1 2016 1,,,3.10,,,,
6,0089806200158,,,1,,GODDESS GARDEN,,,,SUNSCREEN-NATURAL-SPRAY-KIDS-SPF 30,,,,6.00,,,OZ,,,,May  1 2016 1,,,2.10,,,,
7,0089806200148,,,1,,GODDESS GARDEN,,,,SUNSCREEN-FACIAL-SPF 30,,,,3.40,,,OZ,,,,May  1 2016 1,,,3.00,,,,
8,0089806200138,,,1,,GODDESS GARDEN,,,,SUNSCREEN-NATURAL SPF 30,,,,3.40,,,OZ,,,,May  1 2016 1,,,3.00,,,,
9,0089806200141,,,2,,GODDESS GARDEN,,,,SUNSCREEN-NATURAL SPF 30,,,,6.00,,,OZ,,,,May  1 2016 1,,,3.00,,,,
10,0089806200160,,,1,,GODDESS GARDEN,,,,SUNSCREEN-NATURAL-SPRAY-SPF 30,,,,6.00,,,OZ,,,,May  1 2016 1,,,2.10,,,,
