"Merchandise BIO-K (6 pack) & 
GoodBelly (4 pack) behind single bottles
14,0070587560004,,,,1,,BARLEANS,,,,,FISH OIL-OMEGA SWIRL-LEMON ZEST,,,,,16.00,,,OZ,,,Apr  3 2016 1,,,,,2.55,,,,
15,0070587560010,,,,1,,BARLEANS,,,,,FISH OIL-OMEGA SWIRL-MANGO PEACH,,,,,16.00,,,OZ,,,Apr  3 2016 1,,,,,2.55,,,,
16,0070587560029,,,,1,,BARLEANS,,,,,FISH OIL-CITRUS SORBET,,,,,16.00,,,OZ,,,Apr  3 2016 1,,,,,2.55,,,,
17,0070587560016,,,,1,,BARLEANS,,,,,FISH OIL-OMEGA SWIRL-KEY LIME,,,,,16.00,,,OZ,,,Apr  3 2016 1,,,,,2.55,,,,
18,0070587500027,,,,1,,BARLEANS,,,,,TOTAL OMEGA 369- ORANGE CREAM,,,,,16.00,,,OZ,,,Apr  3 2016 1,,,,,2.55,,,,
19,0070587500277,,,,1,,BARLEANS,,,,,VEGAN-OMEGA SWIRL-POM BLUEBERRY,,,,,16.00,,,OZ,,,Apr  3 2016 1,,,,,2.55,,,,
20,0006199867980,,,,1,,UDOS CHOICE,,,,,OIL BLEND,,,,,8.50,,,OZ,,,Apr  3 2016 1,,,,,2.60,,,,
21,0006199867982,,,,1,,UDOS CHOICE,,,,,OIL BLEND,,,,,17.00,,,FOZ,,,Apr  3 2016 1,,,,,3.15,,,,
22,0006199867989,,,,1,,UDOS CHOICE,,,,,OIL BLEND,,,,,32.00,,,FOZ,,,Apr  3 2016 1,,,,,3.80,,,,
23,0006199867997,,,,1,,UDOS CHOICE,,,,,DHA OIL BLEND,,,,,8.50,,,FOZ,,,Apr  3 2016 1,,,,,2.60,,,,
24,0006199867998,,,,1,,UDOS CHOICE,,,,,DHA OIL BLEND,,,,,17.00,,,FOZ,,,Apr  3 2016 1,,,,,3.15,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 2,   Length: 5' 7.00"",    Height: 0' 7.50"",   Depth: 1' 4.00"",   Product: 5' 6.81""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0005149410205,,,,1,,MEGAFOOD,,,,,MEGAFLORA,,,,,30.00,,,CAP,,,Apr  3 2016 1,,,,,2.15,,,,
2,0005149410204,,,,1,,MEGAFOOD,,,,,MEGAFLORA-DAILY FOODS,,,,,60.00,,,CAP,,,Apr  3 2016 1,,,,,2.40,,,,
3,0005149410228,,,,1,,MEGAFOOD,,,,,MEGAFLORA,,,,,90.00,,,CAP,,,Apr  3 2016 1,,,,,2.60,,,,
4,0005149410021,,,,1,,MEGAFOOD,,,,,MEGAFLORA FOR WOMEN,,,,,60.00,,,CAP,,,Apr  3 2016 1,,,,,2.40,,,,
5,0005149410023,,,,1,,MEGAFOOD,,,,,MEGAFLORA OVER 50,,,,,60.00,,,CAP,,,Apr  3 2016 1,,,,,2.40,,,,
6,0079357313397,,,,1,,CALIFORNIA BEE POLLEN,,,,,BEE POLLEN-FRESH CALIFORNIA,,,,,10.00,,,OZ,,,Apr  3 2016 1,,,,,3.00,,,,
7,0079357315075,,,,1,,CALIFORNIA BEE POLLEN,,,,,BEE POLLEN-FRESH CALIFORNIA,,,,,20.00,,,OZ,,,Apr  3 2016 1,,,,,3.65,,,,
Positio,,,,UPC,,Facings,,,,Brand,,,,Long Description,,,,,Size,,,UOM,,,Date,,,,,Width,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0005255760014,,,,1,,NATREN,,,,,HEALTHY TRINITY DAIRY FREE,,,,,14.00,,,CAP,,,Apr  3 2016 1,,,,,2.00,,,,
9,0005255760030,,,,1,,NATREN,,,,,HEALTHY TRINITY DAIRY FREE,,,,,30.00,,,CAP,,,Apr  3 2016 1,,,,,2.45,,,,
10,0005255791014,,,,1,,NATREN,,,,,GY-NA-TREN,,,,,1.00,,,KIT,,,Apr  3 2016 1,,,,,2.15,,,,
11,0089763000200,,,,1,,INNER ECO,,,,,DAIRY FREE COCONUT WATER-ORIGINAL,,,,,15.00,,,FOZ,,,Apr  3 2016 1,,,,,2.95,,,,
12,0089763000201,,,,1,,INNER ECO,,,,,DAIRY FREE COCONUT WATER-BERRY,,,,,15.00,,,FOZ,,,Apr  3 2016 1,,,,,2.95,,,,
13,0089763000202,,,,1,,INNER ECO,,,,,DAIRY FREE COCONUT WATER-TROPICAL,,,,,15.00,,,FOZ,,,Apr  3 2016 1,,,,,2.95,,,,
14,0007663000870,,,,1,,AMERICAN HEALTH,,,,,ACIDOPHILUS-LIQUID-PLAIN,,,,,16.00,,,FOZ,,,Apr  3 2016 1,,,,,3.00,,,,
15,0007663000873,,,,1,,AMERICAN HEALTH,,,,,PROBIOTIC ACIDOPHILUS-BANANA FLAVOR,,,,,16.00,,,FOZ,,,Apr  3 2016 1,,,,,3.00,,,,
16,0007663000874,,,,1,,AMERICAN HEALTH,,,,,PROBIOTIC ACIDOPHILUS-BLUEBERRY,,,,,16.00,,,FOZ,,,Apr  3 2016 1,,,,,3.00,,,,
17,0007663000875,,,,1,,AMERICAN HEALTH,,,,,ACIDOPHILUS-LIQUID-STRAWBERRY,,,,,16.00,,,FOZ,,,Apr  3 2016 1,,,,,3.00,,,,
18,0004064700110,,,,1,,NATURE'S LIFE,,,,,APPLE HONEY LACTOBACILLUS ACIDOPHILU,,,,,16.00,,,FOZ,,,Apr  3 2016 1,,,,,2.95,,,,
19,0004064700540,,,,1,,NATURE'S LIFE,,,,,PRO 96 ACIDOPHILUS BLUEBERRY,,,,,16.00,,,OZ,,,Apr  3 2016 1,,,,,2.95,,,,
20,0004064700539,,,,1,,NATURE'S LIFE,,,,,ACIDOPHILUS STRAWBERRY APPLE,,,,,16.00,,,OZ,,,Apr  3 2016 1,,,,,2.95,,,,
21,0069765810103,,,,1,,MANITOBA HARVEST,,,,,HEMP SEED OIL,,,,,12.00,,,FOZ,,,Apr  3 2016 1,,,,,2.30,,,,
