"Shelf: 2,   Length: 4' 0.00"",    Height: 0' 9.50"",   Depth: 1' 4.00"",   Product: 3' 11.98""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0085733500422,,,,1,,,ONLY WHAT YOU NEED,,,,,,,PROTEIN-PLANT-SMOOTH VANILLA-TUB,,,,,1.08,,,,,LB,,,,,,,4.96,,,,,
2,0085733500423,,,,1,,,ONLY WHAT YOU NEED,,,,,,,PROTEIN-PLANT-DARK CHOCOLATE-TUB,,,,,1.17,,,,,LB,,,,,,,4.96,,,,,
3,0089098500193,,,,1,,,PLANT FUSION,,,,,,,PLANTFUSION COMPLETE UNFLAVORED,,,,,14.82,,,,,OZ,,,Feb 21 2016 1,,,,4.86,,,,,
4,0089098500190,,,,1,,,PLANT FUSION,,,,,,,PLANTFUSION COMPLETE VANILLA,,,,,15.87,,,,,OZ,,,Feb 21 2016 1,,,,4.86,,,,,
5,0089098500195,,,,1,,,PLANT FUSION,,,,,,,PLANTFUSION COMPLETE VANILLA,,,,,31.75,,,,,OZ,,,Feb 21 2016 1,,,,5.51,,,,,
6,0089098500191,,,,1,,,PLANT FUSION,,,,,,,PLANTFUSION COMPLETE CHOCOLATE,,,,,15.87,,,,,OZ,,,Feb 21 2016 1,,,,4.86,,,,,
7,0089098500196,,,,1,,,PLANT FUSION,,,,,,,PLANTFUSION COMPLETE CHOCOLATE,,,,,31.75,,,,,OZ,,,Feb 21 2016 1,,,,5.51,,,,,
8,0089098500160,,,,1,,,PLANT FUSION,,,,,,,PHOOD EVERYTHING SHAKE-VANILLA,,,,,31.80,,,,,OZ,,,Feb 21 2016 1,,,,5.51,,,,,
9,0089098500161,,,,1,,,PLANT FUSION,,,,,,,PLANTFUSION MEAL CHOC CARAMEL,,,,,31.80,,,,,OZ,,,Feb 21 2016 1,,,,5.51,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 3,   Length: 4' 0.00"",    Height: 0' 7.50"",   Depth: 1' 4.00"",   Product: 3' 11.96""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0001579401785,,,,1,,,BIOCHEM,,,,,,,PROTEIN-PLANT-POWDER-NATURAL,,,,,12.40,,,,,OZ,,,,,,,4.10,,,,,
2,0001579401791,,,,1,,,BIOCHEM,,,,,,,PROTEIN-PLANT-POWDER-VANILLA,,,,,11.60,,,,,OZ,,,,,,,4.10,,,,,
3,0085046000534,,,,1,,,KULI KULI,,,,,,,POWDER-ORG-GREENS-MORINGA-NATURAL,,,,,7.30,,,,,OZ,,,,,,,6.00,,,,,
4,0085046000533,,,,1,,,KULI KULI,,,,,,,POWDER-ORG-GREENS-MORINGA-VANILLA,,,,,7.60,,,,,OZ,,,,,,,6.00,,,,,
5,0083876600614,,,,1,,,VEGA,,,,,,,VEGA PROTEIN SMOOTHIE VIVA VAN,,,,,9.30,,,,,OZ,,,Feb 21 2016 1,,,,6.50,,,,,
6,0083876600610,,,,1,,,VEGA,,,,,,,VEGA PROTEIN SMOOTHIE CHOC-A-LOT,,,,,9.20,,,,,OZ,,,Feb 21 2016 1,,,,6.50,,,,,
7,0083876600611,,,,1,,,VEGA,,,,,,,VEGA PROTEIN SMOOTHIE BODACIOUS BRY,,,,,9.20,,,,,OZ,,,Feb 21 2016 1,,,,6.50,,,,,
8,0083876600613,,,,1,,,VEGA,,,,,,,VEGA PROTEIN SMOOTHIE TRPCL TANGO,,,,,9.00,,,,,OZ,,,Feb 21 2016 1,,,,6.50,,,,,
Positio,,,,UPC,,Facings,,,,,,Brand,,,,,,Long Description,,,,Size,,,,,UOM,,,,Date,,,Width,,,
"-----------
Totals:",,,"--------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------
---------------
8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 4,   Length: 4' 0.00"",    Height: 0' 9.50"",   Depth: 1' 4.00"",   Product: 3' 11.97""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0083876600485,,,,1,,,VEGA,,,,,,,ALL-IN-ONE SHAKE-ORG-COCONUT ALMOND,,,,,12.10,,,,,OZ,,,,,,,4.80,,,,,
2,0083876600477,,,,1,,,VEGA,,,,,,,ALL-IN-ONE SHAKE-ORG-COCONUT ALMND,,,,,24.30,,,,,OZ,,,,,,,5.17,,,,,
3,0083876600489,,,,1,,,VEGA,,,,,,,ALL-IN-ONE SHAKE-ORG-BERRY,,,,,12.10,,,,,OZ,,,,,,,4.80,,,,,
4,0083876600481,,,,1,,,VEGA,,,,,,,ALL-IN-ONE SHAKE-ORG-BERRY,,,,,24.30,,,,,OZ,,,,,,,5.17,,,,,
5,0083876600488,,,,1,,,VEGA,,,,,,,ALL-IN-ONE SHAKE-ORG-CHOCOLATE,,,,,13.20,,,,,OZ,,,,,,,4.80,,,,,
6,0083876600480,,,,1,,,VEGA,,,,,,,ALL-IN-ONE SHAKE-ORG-CHOCOLATE,,,,,25.00,,,,,OZ,,,,,,,5.17,,,,,
7,0083876600641,,,,1,,,VEGA,,,,,,,PROTEIN & GREENS-VANILLA FLAVOR,,,,,21.70,,,,,OZ,,,Feb 21 2016 1,,,,4.82,,,,,
8,0083876600640,,,,1,,,VEGA,,,,,,,PROTEIN & GREENS-CHOCOLATE FLAVOR,,,,,21.80,,,,,OZ,,,Feb 21 2016 1,,,,4.82,,,,,
9,0083876600642,,,,1,,,VEGA,,,,,,,PROTEIN & GREENS-BERRY FLAVOR,,,,,21.50,,,,,OZ,,,Feb 21 2016 1,,,,4.82,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 5,   Length: 4' 0.00"",    Height: 0' 10.50"",   Depth: 1' 4.00"",   Product: 3' 11.97""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0083876600483,,,,1,,,VEGA,,,,,,,ALL-IN-ONE SHAKE-ORG-PLAIN-UNSWTN,,,,,13.50,,,,,OZ,,,,,,,4.80,,,,,
2,0083876600475,,,,1,,,VEGA,,,,,,,ALL-IN-ONE SHAKE-ORG-PLAIN-UNSWTND,,,,,26.90,,,,,OZ,,,,,,,5.17,,,,,
