",,,,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 6",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 8:  Height 0' 8.00"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 7:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 6:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 5:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 4:  Height 0' 6.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 3:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 2:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 1:  Height 0' 9.50"", Length 4' 0.00"", Depth 1' 1.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0087863900008,,,,1,,,EVERYMAN JACK,,,,,,BODY WASH CEDARWOOD,,,,,16.90,,,FOZ,,,,Jun 12 2016 1,,,,3.47,,,,,
13,0087863900625,,,,1,,,EVERYMAN JACK,,,,,,BODY WASH & SHOWER GEL-CEDARWOOD,,,,,33.80,,,FOZ,,,,,,,,4.07,,,,,
14,0063687422001,,,,1,,,EVERYONE,,,,,,CEDAR & CITRUS SOAP FOR EVERY MAN,,,,,32.00,,,FOZ,,,,Jun 12 2016 1,,,,3.67,,,,,
15,0063687422405,,,,1,,,EVERYONE,,,,,,SOAP FOR EVERY MAN-SAGE & VERBENA,,,,,32.00,,,FOZ,,,,,,,,3.67,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 2,   Length: 4' 0.00"",    Height: 0' 5.50"",   Depth: 1' 1.00"",   Product: 3' 11.88""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0084105800159,,,,1,,,BULL DOG NATURAL SKINCARE,,,,,,BEARD BALM-ORIGINAL,,,,,2.50,,,FOZ,,,,,,,,2.58,,,,,
2,0084105800158,,,,1,,,BULL DOG NATURAL SKINCARE,,,,,,BEARD OIL-ORIGINAL,,,,,1.00,,,FOZ,,,,,,,,1.59,,,,,
3,0084105800153,,,,1,,,BULL DOG NATURAL SKINCARE,,,,,,MOISTURIZER-ORIGINAL,,,,,3.30,,,FOZ,,,,,,,,3.06,,,,,
4,0084105800169,,,,1,,,BULL DOG NATURAL SKINCARE,,,,,,AFTERSHAVE BALM-ORIGINAL,,,,,3.30,,,FOZ,,,,,,,,2.58,,,,,
5,0007852200203,,,,1,,,JASON,,,,,,SHAVE OIL-MENS-SENSITIVE SKIN,,,,,2.00,,,FOZ,,,,,,,,1.54,,,,,
6,0007852200204,,,,1,,,JASON,,,,,,SHAVE OIL-MENS-COARSE HAIR,,,,,2.00,,,FOZ,,,,,,,,1.54,,,,,
7,0063408413004,,,,1,,,BADGER BALM,,,,,,MAN CARE-HAIR POMADE,,,,,2.00,,,OZ,,,,Jun 12 2016 1,,,,2.88,,,,,
8,0063408413000,,,,1,,,BADGER BALM,,,,,,MAN CARE-MUSTACHE WAX,,,,,0.75,,,OZ,,,,Jun 12 2016 1,,,,2.05,,,,,
9,0063408413008,,,,2,,,BADGER BALM,,,,,,MAN CARE-BEARD OIL,,,,,1.00,,,FOZ,,,,Jun 12 2016 1,,,,1.46,,,,,
10,0063408413030,,,,1,,,BADGER BALM,,,,,,BEARD BALM-ORGANIC,,,,,2.00,,,OZ,,,,Jun 12 2016 1,,,,2.76,,,,,
11,0063408413020,,,,1,,,BADGER BALM,,,,,,SHAVE SOAP,,,,,3.15,,,OZ,,,,Jun 12 2016 1,,,,3.03,,,,,
12,0063408413024,,,,1,,,BADGER BALM,,,,,,FACE OIL-AFTER SHAVE-MOISTURIZING,,,,,4.00,,,FOZ,,,,Jun 19 2016 1,,,,1.96,,,,,
13,0063408413012,,,,1,,,BADGER BALM,,,,,,PRE-SHAVE OIL,,,,,2.00,,,FOZ,,,,Jun 12 2016 1,,,,1.80,,,,,
14,0087863900111,,,,1,,,EVERYMAN JACK,,,,,,FIBER HAIR CREAM-FRAGRANCE FREE,,,,,2.65,,,FOZ,,,,,,,,3.02,,,,,
15,0087863900112,,,,1,,,EVERYMAN JACK,,,,,,HAIR POMADE,,,,,2.65,,,OZ,,,,,,,,3.02,,,,,
16,0087863900011,,,,1,,,EVERYMAN JACK,,,,,,BODY BAR-CEDARWOOD,,,,,7.00,,,OZ,,,,Jun 12 2016 1,,,,2.46,,,,,
Positio,,,,UPC,,Facings,,,,,,Brand,,,,Long Description,,,,,Size,,,UOM,,,,,Date,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0087863900056,,,,1,,,EVERYMAN JACK,,,,,,FACE LOTION FRAGRANCE FREE,,,,,4.20,,,FOZ,,,,Jun 12 2016 1,,,,3.01,,,,,
