"Project Type: Reset 01/22/2018 Buyer: Multiple
Analyst: Denny Robison x450
Location(s):
Notes:",,,,,,,,,,,,,,"9/12/2018
Multiple Department
25403 FEM-H Style Wide-B 36.5 IN-Released
T
",,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 1",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0
E C E C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 7:  Height 1' 2.75"", Length 3' 0.50"", Depth 1' 8.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"0070059
SPRY CHEWIN",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"007005960
SPRY",,,,,,,,,,,,,,,,,,,,,,,,
1,0073402790205,,,1,,THE GINGER PEOPLE,,,,,,,,GINGER CHEWS-TRAVEL PACK,,,,1.60,,,OZ,,,,,,,,4.95,,,,,
2,0001607321605,,,1,,BETTY LOUS,,,,,,,,BITES-PROBIOTIC-APPLE CINNAMON,,,,0.90,,,OZ,,,,,,,,3.29,,,,,
3,0001607321607,,,1,,BETTY LOUS,,,,,,,,BITES-PROBIOTIC-MAPLE OATMEAL,,,,0.90,,,OZ,,,,,,,,3.29,,,,,
4,0088939208801,,,1,,CELSIUS,,,,,,,,POWDER-LIVE FIT-ORANGE,,,,0.18,,,OZ,,,,,,,,3.52,,,,,
5,0081004801727,,,1,,WILD OPHELIA,,,,,,,,CHOCOLATE-JET BLACK-COFFEE-COLD BREW,,,,1.39,,,OZ,,,,,,,,3.01,,,,,
6,0085557100517,,,1,,UNREAL CANDY,,,,,,,,CHOCOLATE-DARK-PEANUT BUTTER CUP,,,,0.50,,,OZ,,,,,,,,4.90,,,,,
7,0085648100372,,,1,,LILYS SWEETS,,,,,,,,BAR-DBL CHOCO CRUNCH-SOUR CHERRY,,,,1.00,,,OZ,,,,,,,,5.16,,,,,
8,0072037953126,,,1,,MADE IN NATURE,,,,,,,,SUPERSNACKS-FIGGY POPS-CHOC-ORG,,,,1.60,,,OZ,,,,,,,,4.08,,,,,
9,0085768200310,,,1,,BARNANA,,,,,,,,BANANA BITES-COCONUT-ORGANIC,,,,1.40,,,OZ,,,,Mar 13 2016 1,,,,4.06,,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
