19,0072474200872,,,1,,,ALBA BOTANICA,,,,LOTION-HAND BODY-COCOA BUTTER,,,,24.00,,,,OZ,,,,,2.90,,,,
20,0072474200828,,,1,,,ALBA BOTANICA,,,,HAND BODY LOTION-COCOA BUTTER,,,,7.00,,,,FOZ,,,,,3.00,,,,
21,0072474200834,,,2,,,ALBA BOTANICA,,,,MASSAGE OIL-KUKUI NUT,,,,8.50,,,,FOZ,,,,,2.05,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,29,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 2,   Length: 8' 0.00"",    Height: 0' 9.50"",   Depth: 1' 1.00"",   Product: 7' 11.95""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0018713200500,,,1,,,EVERY DAY SHEA,,,,BODY LOTION-EDS-UNSCENTED,,,,32.00,,,,FOZ,,,,,3.60,,,,
2,0018713200501,,,1,,,EVERY DAY SHEA,,,,BODY LOTION-EDS-LAVENDER,,,,32.00,,,,FOZ,,,,,3.60,,,,
3,0018713200502,,,1,,,EVERY DAY SHEA,,,,BODY LOTION-EDS-VANILLA,,,,32.00,,,,FOZ,,,,,3.60,,,,
4,0084132010503,,,1,,,EVERY DAY SHEA,,,,BODY LOTION-PASSION FRT,,,,32.00,,,,FOZ,,,,,3.60,,,,
5,0018713200700,,,2,,,EVERYDAY COCONUT,,,,BODY LOTION-HYDRATING PURELY COCONUT,,,,32.00,,,,FOZ,,,,,3.60,,,,
6,0084132010701,,,1,,,EVERYDAY COCONUT,,,,BODY LOTION-COCONUT LIME,,,,32.00,,,,FOZ,,,,,3.60,,,,
7,0007577227751,,,2,,,MOUNTOCEAN,,,,SKIN TRIP COCONUT MOISTURIZER,,,,8.00,,,,FOZ,,,,,2.00,,,,
8,0066955860014,,,1,,,JOHN MASTERS ORGANICS,,,,BODY MILK-BLOOD ORANGE & VANILLA,,,,8.00,,,,FOZ,,,,,1.90,,,,
9,0071623718436,,,1,,,GIOVANNI,,,,BODY LOTION-2 CHIC AVOCDO & OLVE OIL,,,,8.50,,,,FOZ,,,,,1.90,,,,
10,0008173840206,,,2,,,SHIKAI,,,,LOTION-BORAGE-ADVANCED FORMULA,,,,8.00,,,,FOZ,,,,,3.00,,,,
Positio,,,UPC,,,Facings,,,Brand,,,,Long Description,,,,Size,,,,UOM,,Date,,,Width,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,
