9,0007965114784,,,,1,,,FLORA,,,,,CALCIUM MAGNESIUM,,,,,8.50,,,,FOZ,,,,Feb 21 2016 1,,,,,3.44,,,,,,
10,0005323240012,,,,1,,,LIFETIME,,,,,LIQ CAL MAG PINA COLADA,,,,,16.00,,,,FOZ,,,,Feb 21 2016 1,,,,,2.95,,,,,,
11,0005323240002,,,,1,,,LIFETIME,,,,,LIQUID CALCIUM MAG CITRATE-BLUBRRY,,,,,16.00,,,,FOZ,,,,Feb 21 2016 1,,,,,2.95,,,,,,
12,0005323240009,,,,1,,,LIFETIME,,,,,LIQ CAL MAG STRAWBERRY,,,,,16.00,,,,FOZ,,,,Feb 21 2016 1,,,,,2.95,,,,,,
13,0005323240014,,,,1,,,LIFETIME,,,,,OSTEO DENSITY BLEND LIQUID,,,,,16.00,,,,FOZ,,,,Feb 21 2016 1,,,,,3.00,,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 2,   Length: 4' 0.00"",    Height: 0' 7.50"",   Depth: 1' 1.00"",   Product: 3' 11.75""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0087894100014,,,,2,,,TRACE MINERALS,,,,,LIQUID IONIC BORON 6 MG,,,,,2.00,,,,FOZ,,,,Feb 21 2016 1,,,,,1.55,,,,,,
2,0003367441101,,,,1,,,NATURE'S WAY,,,,,BORON COMPLEX 3 MG,,,,,100.00,,,,CAP,,,,Feb 21 2016 1,,,,,2.00,,,,,,
3,0074371500685,,,,1,,,BLUEBONNET,,,,,TRIPLE BORON,,,,,90.00,,,,VCP,,,,,,,,,1.99,,,,,,
4,0007628047484,,,,1,,,SOLARAY,,,,,BIOCITRATE STRONTIUM,,,,,60.00,,,,VCP,,,,Feb 21 2016 1,,,,,2.00,,,,,,
5,0064667069039,,,,1,,,SPROUTS,,,,,CORAL CALCIUM 1000 MG,,,,,60.00,,,,CAP,,,,Feb 21 2016 1,,,,,2.03,,,,,,
6,0087894100050,,,,1,,,TRACE MINERALS,,,,,CORAL CALCIUM,,,,,60.00,,,,VCP,,,,Feb 21 2016 1,,,,,2.53,,,,,,
7,0070108249000,,,,1,,,PHYTO THERAPY,,,,,LIQUID CALCIUM,,,,,90.00,,,,SG,,,,Feb 21 2016 1,,,,,2.70,,,,,,
8,0070108249180,,,,1,,,PHYTO THERAPY,,,,,LIQUID CALCIUM,,,,,180.00,,,,SG,,,,Feb 21 2016 1,,,,,3.05,,,,,,
