Positio,,UPC,,,,Facings,,,Brand,,,,Long Description,,,,,,,Size,,,UOM,,,,Date,,,,Width,,,,
2,0081705302079,,,,1,,,SMARTY PANTS,,,,ORGANIC KID'S COMPLETE,,,,,,,120.00,,,CNT,,,,,,,,3.03,,,,,
3,0085135600401,,,,1,,,SMARTY PANTS,,,,KIDS COMPLETE GUMMY MULTIVITAMIN,,,,,,,120.00,,,CNT,,,,Mar 13 2016 1,,,,3.07,,,,,
4,0085135600407,,,,1,,,SMARTY PANTS,,,,KIDS FIBER COMPLETE GUMMIES,,,,,,,120.00,,,CNT,,,,Mar 13 2016 1,,,,3.07,,,,,
5,0081705302065,,,,1,,,SMARTY PANTS,,,,MULTIVITAMINS-TEEN GIRL COMPLETE,,,,,,,120.00,,,CNT,,,,,,,,3.07,,,,,
6,0081705302067,,,,1,,,SMARTY PANTS,,,,MULTIVITAMINS-TEEN GUY COMPLETE,,,,,,,120.00,,,CNT,,,,,,,,3.07,,,,,
7,0065801012027,,,,1,,,GARDEN OF LIFE,,,,MULTIVITAMIN-ORG-KIDS-FRUIT,,,,,,,120.00,,,CHW,,,,,,,,2.88,,,,,
8,0065801012075,,,,1,,,GARDEN OF LIFE,,,,MULTIVITAMIN-ORG-KIDS-CHERRY,,,,,,,120.00,,,CHW,,,,,,,,2.88,,,,,
9,0003367415789,,,,1,,,NATURE'S WAY,,,,ALIVE-GUMMIES-CHILDRENS MULTIVITAMIN,,,,,,,90.00,,,CNT,,,,Jun 12 2016 1,,,,2.87,,,,,
10,0003367415786,,,,1,,,NATURE'S WAY,,,,ALIVE-CHILDRENS CHEWABLE MULITVITAMN,,,,,,,120.00,,,CHW,,,,Mar 13 2016 1,,,,2.85,,,,,
11,0065801011439,,,,1,,,GARDEN OF LIFE,,,,VITAMIN CODE KIDS,,,,,,,30.00,,,CHW,,,,Mar 13 2016 1,,,,2.20,,,,,
12,0065801011440,,,,1,,,GARDEN OF LIFE,,,,VITAMIN CODE KIDS,,,,,,,60.00,,,CHW,,,,Mar 13 2016 1,,,,2.70,,,,,
13,0002188878081,,,,1,,,RAINBOW LIGHT,,,,TEEN GIRLS MULTIVITAMIN SKIN SUPPORT,,,,,,,180.00,,,TAB,,,,,,,,2.43,,,,,
14,0002188878101,,,,1,,,RAINBOW LIGHT,,,,MULTI-HEALTHY BRAIN SUPPORT-TEEN GRL,,,,,,,180.00,,,TAB,,,,,,,,2.43,,,,,
15,0002188878071,,,,1,,,RAINBOW LIGHT,,,,YOUNG MENS MULTIVITAMIN SKIN SUPPORT,,,,,,,180.00,,,TAB,,,,,,,,2.43,,,,,
16,0002188878111,,,,1,,,RAINBOW LIGHT,,,,MULTI-HEALTHY BRAIN SUPPORT-TEEN BOY,,,,,,,180.00,,,TAB,,,,,,,,2.43,,,,,
17,0002188811202,,,,1,,,RAINBOW LIGHT,,,,ACTIVE HEALTH TEEN FOOD BASED MULTI,,,,,,,90.00,,,TAB,,,,Jun 12 2016 1,,,,2.44,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 3,   Length: 4' 0.00"",    Height: 0' 7.50"",   Depth: 1' 3.00"",   Product: 3' 11.93""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0085135600483,,,,1,,,SMARTY PANTS,,,,WOMENS COMPLETE,,,,,,,180.00,,,CNT,,,,Jun 12 2016 1,,,,3.50,,,,,
2,0081705302061,,,,1,,,SMARTY PANTS,,,,MASTER'S 50+ WOMEN'S COMPLETE,,,,,,,120.00,,,CNT,,,,,,,,3.50,,,,,
Positio,,,,UPC,,Facings,,,,,Brand,,,,,Long Description,,,,,Size,,,UOM,,,,,Date,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0085135600478,1,SMARTY PANTS,MENS COMPLETE,180.00,CNT
4,0081705302060,1,SMARTY PANTS,MASTER'S 50+ MEN'S COMPLETE,120.00,CNT
5,0085135600400,1,SMARTY PANTS,ALL IN ONE MULTIVITAMIN FOR ADULTS,180.00,CNT
6,0085135600408,1,MARTY PANTS,GUMMIES-ADULT- FIBER-MULTI-OMEGA 3,180.00,CHW
7,0007628051812,2,SOLARAY,ONCE DAILY WOMAN,90.00,VCP
8,0007628020055,1,SOLARAY,ONCE DAILY ACTIVE MAN,90.00,VCP
9,0007628098679,1,SOLARAY,ONCE DAILY ADULT 50+,90.00,VCP
10,0007628047305,1,SOLARAY,ONCE DAILY HIGH ENERGY- IRON FREE,60.00,CAP
11,0007628004730,1,SOLARAY,ONCE DAILY MULTI VITA MIN,60.00,CAP
12,0007628004731,1,SOLARAY,ONCE DAILY HIGH ENERGY MULTI-VITAMIN,120.00,CAP
13,0007628047312,1,SOLARAY,ONCE DAILY HIGH ENERGY,180.00,VCP
14,0007628004782,1,SOLARAY,SPECTRO MULTI VITA MIN,250.00,CAP
15,0007628004785,1,SOLARAY,SPECTRO MULTI VITA MIN-IRON FREE,250.00,CAP
Totals:,,
"Shelf: 4,   Length: 4' 0.00"",    Height: 0' 6.50"",   Depth: 1' 3.00"",   Product: 3' 11.94""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0003373900212,,,,2,,,SUPER NUTRITION,,,,SIMPLY ONE-WOMEN,,,,,,,30.00,,,TAB,,,,May  1 2016 1,,,,2.09,,,,,
2,0003373900213,,,,1,,,SUPER NUTRITION,,,,SIMPLY ONE-WOMEN,,,,,,,90.00,,,VTB,,,,May  1 2016 1,,,,2.40,,,,,
3,0003373900218,,,,1,,,SUPER NUTRITION,,,,SIMPLY ONE-WOMEN-NO IRON,,,,,,,30.00,,,TAB,,,,May  1 2016 1,,,,2.09,,,,,
4,0003373900268,,,,1,,,SUPER NUTRITION,,,,MULTIVITAMINS-WOMEN-CHEWABLE,,,,,,,30.00,,,CHW,,,,,,,,2.09,,,,,
5,0003373900200,,,,1,,,SUPER NUTRITION,,,,SIMPLY ONE 50+ WOMEN,,,,,,,90.00,,,TAB,,,,May  1 2016 1,,,,2.40,,,,,
6,0003373900227,,,,1,,,SUPER NUTRITION,,,,SIMPLY ONE 50+ WOMEN-IRON FREE,,,,,,,30.00,,,TAB,,,,May  1 2016 1,,,,2.09,,,,,
7,0003373900228,,,,1,,,SUPER NUTRITION,,,,SIMPLY ONE 50+ WOMEN-IRON FREE,,,,,,,90.00,,,TAB,,,,May  1 2016 1,,,,2.40,,,,,
8,0003373900214,,,,1,,,SUPER NUTRITION,,,,SIMPLY ONE MEN MULTI VITAMIN,,,,,,,30.00,,,TAB,,,,May  1 2016 1,,,,2.09,,,,,
9,0003373900215,,,,1,,,SUPER NUTRITION,,,,SIMPLY ONE-MEN,,,,,,,90.00,,,VTB,,,,May  1 2016 1,,,,2.40,,,,,
10,0003373900222,,,,1,,,SUPER NUTRITION,,,,SIMPLY ONE-MEN-NO IRON,,,,,,,30.00,,,TAB,,,,May  1 2016 1,,,,2.09,,,,,
