Notes:",,,,,,,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 8",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,First,,,,,Product,,,
Positio,,,UPC,,,Facings,,Brand,,,,,Long Description,,,,,,Size,,,UOM,,,,Date,,,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,0068773530164,,,1,,PACIFICA,,,,,MASK-PORE REFINE-DETOX,,,,,,1.70,,,FOZ,,,,,,,,,2.30,,,,
6,,0068773530179,,,1,,PACIFICA,,,,,FACE WASH-QUINOA SENSITIVE,,,,,,5.00,,,FOZ,,,,,,,,,2.32,,,,
7,,0068773530103,,,1,,PACIFICA,,,,,DREAMY YOUTH DAY & NIGHT FACE CREAM,,,,,,1.70,,,FOZ,,,,Jun  5 2016 1,,,,,1.65,,,,
8,,0068773530175,,,1,,PACIFICA,,,,,CLEANSING PASTE-LUMINIZING-RICE BRGH,,,,,,2.50,,,FOZ,,,,,,,,,2.10,,,,
9,,0068773562304,,,1,,PACIFICA,,,,,SCRUB-FACIAL-GLOW BABY,,,,,,1.70,,,FOZ,,,,,,,,,2.10,,,,
10,,0072831500607,,,1,,ANNEMARIE BORLIND,,,,,CLEANSING MILK-ZZ SENSITIVE,,,,,,5.07,,,FOZ,,,,Jun  5 2016 1,,,,,2.15,,,,
11,,0072831500613,,,1,,ANNEMARIE BORLIND,,,,,FACIAL TONER-ZZ SENSITIVE,,,,,,5.07,,,FOZ,,,,Jun  5 2016 1,,,,,2.20,,,,
12,,0072831500611,,,1,,ANNEMARIE BORLIND,,,,,DAY CREAM-ZZ SENSITIVE,,,,,,1.69,,,FOZ,,,,Jun  5 2016 1,,,,,2.00,,,,
13,,0072831500609,,,1,,ANNEMARIE BORLIND,,,,,NIGHT CREAM-ZZ SENSITIVE,,,,,,1.69,,,FOZ,,,,Jun  5 2016 1,,,,,2.00,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 6,   Length: 2' 6.50"",    Height: 0' 9.50"",   Depth: 1' 11.00"",   Product: 2' 6.49""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1                       0068773530260                1,,,,,,,,,PACIFICA,,,FACIAL MASK-SUPER GREEN DETOX,,,,,,0.67,,,,,,FOZ,,,,,4.25,,,,,
Positio,,,,UPC,,Facings,,,,Brand,,,,Long Description,,,,,Size,,,,UOM,,,,Date,,,,,Width,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,0068773531007,,,1,,PACIFICA,,,,,WIPES-SUPER DETOX PURIFICATION,,,,,,30.00,,,CNT,,,,,,,,,3.65,,,,
3,,0068773530184,,,1,,PACIFICA,,,,,CLEANSING TONIC-KALE WATER,,,,,,8.00,,,FOZ,,,,,,,,,1.90,,,,
4,,0068773530172,,,1,,PACIFICA,,,,,KALE DETOX FACE WASH,,,,,,5.00,,,FOZ,,,,Jun  5 2016 1,,,,,2.32,,,,
5,,0068773530188,,,1,,PACIFICA,,,,,CREAM-MULTI-KALE LUXE,,,,,,1.70,,,FOZ,,,,,,,,,1.80,,,,
6,,0068773530183,,,1,,PACIFICA,,,,,MASK-OVERHAUL-KALE JUICE CLEANSE,,,,,,1.70,,,FOZ,,,,,,,,,2.30,,,,
7,,0068773530250,,,1,,PACIFICA,,,,,FACIAL MASK-DISOBEY TIME,,,,,,0.67,,,FOZ,,,,,,,,,4.25,,,,
8,,0068773530238,,,1,,PACIFICA,,,,,WIPES-MAKEUP REMOVING,,,,,,30.00,,,CNT,,,,,,,,,3.65,,,,
9,,0068773530279,,,1,,PACIFICA,,,,,FACE WASH-FLOWER POWER-ROSE KOMBUCHA,,,,,,5.00,,,FOZ,,,,,,,,,2.32,,,,
10,,0068773530242,,,1,,PACIFICA,,,,,HYDRO MIST-ROSE FLOWER,,,,,,4.00,,,FOZ,,,,,,,,,1.75,,,,
11,,0068773530241,,,1,,PACIFICA,,,,,FACE OIL-RAPID RESPONSE-SUPER POWER,,,,,,1.00,,,FOZ,,,,,,,,,1.25,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 7,   Length: 2' 6.50"",    Height: 0' 9.00"",   Depth: 1' 11.00"",   Product: 2' 6.50""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0068773530262,,,1,,PACIFICA,,,,,FACIAL MASK-STRESS REHAB,,,,,,0.67,,,FOZ,,,,,,,,,4.25,,,,
2,,0068773530104,,,1,,PACIFICA,,,,,PURIFY COCONUT WATER CLEANSING WIPES,,,,,,30.00,,,CNT,,,,Jun  5 2016 1,,,,,3.65,,,,
3,,0068773530194,,,1,,PACIFICA,,,,,CLEANSING TONIC-COCONUT WATER,,,,,,8.00,,,FOZ,,,,,,,,,1.90,,,,
4,,0068773530236,,,1,,PACIFICA,,,,,FACE WASH-CREAM TO FOAM-COCONUT MILK,,,,,,5.00,,,FOZ,,,,,,,,,2.32,,,,
5,,0068773530193,,,1,,PACIFICA,,,,,CREAM-WATER REHAB-COCONUT PROBIOTIC,,,,,,1.70,,,FOZ,,,,,,,,,1.80,,,,
6,,0068773530192,,,1,,PACIFICA,,,,,MASK-PROBIOTIC REHAB-HOT VEGAN,,,,,,2.00,,,FOZ,,,,,,,,,2.30,,,,
7,,0068773530259,,,1,,PACIFICA,,,,,FACIAL MASK-POLLUTION FIGHT,,,,,,0.67,,,FOZ,,,,,,,,,4.25,,,,
8,,0068773530101,,,2,,PACIFICA,,,,,SEA FOAM COMPLETE FACE WASH,,,,,,5.00,,,FOZ,,,,Jun  5 2016 1,,,,,2.32,,,,
9,,0068773530102,,,1,,PACIFICA,,,,,SEA CHANGE-FUTURE YOUTH SERUM,,,,,,1.00,,,FOZ,,,,Jun  5 2016 1,,,,,1.60,,,,
10,,0068773530191,,,1,,PACIFICA,,,,,MASK-HYDRATION-WAKE UP BEAUTIFUL,,,,,,1.70,,,FOZ,,,,,,,,,2.30,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 9,   Length: 2' 6.50"",    Height: 0' 7.50"",   Depth: 1' 11.00"",   Product: 2' 6.37""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0085825900047,,,1,,HYALOGIC,,,,,HA FACIAL SCRUB,,,,,,4.58,,,FOZ,,,,,,,,,2.46,,,,
