"Project Type: Reset 11/05/2018 Buyer: Abby Mullen x2324 Analyst: Tim Esch x1596
Location(s): Most Common Notes: 4 endcaps- 1 Non endcap",,,,,,,,,,,,,"11/6/2018
Vitamin Department
31631 Vitamin-HBA Slat Wall-Released
",,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 5",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Body Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lozenges                             Ear Candles                               Brushes                                  Denco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 1:  Height 4' 6.00"", Length  Shelf 2:  Hei                 "", Length  S                    ht 4' 6.00"", Length  Shelf 4:  Height 4' 6.00"", Length  Shelf 5:  Height 5' 0.00"", Length 3' 0.00"", Depth 0' 7.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,First,,,,Product,,,,
Positio,,UPC,,,,Facings,,Brand,,,,Long Description,,,,,,,Size,,,,UOM,,,Date,,,,Width,,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 1,   Length: 1' 4.25"",    Height: 4' 6.00"",   Depth: 0' 7.00"",   Product: 0' 0.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0004195400011,,,,1,,ZAND,,,,HERBALOZENGE-MENTHOL,,,,,,,15.00,,,,LZ,,,Feb 21 2016 1,,,,4.37,,,,,
7,0060928060012,,,,1,,WALLYS NATURAL,,,,EAR CANDLES-LAVENDER,,,,,,,2.00,,,,PK,,,,,,,1.48,,,,,
8,0060928060014,,,,1,,WALLYS NATURAL,,,,EAR CANDLES-LAVENDER,,,,,,,4.00,,,,PK,,,,,,,2.95,,,,,
9,0004195400012,,,,1,,ZAND,,,,HERBALOZENGE-ORANGE,,,,,,,15.00,,,,LZ,,,Feb 21 2016 1,,,,4.37,,,,,
10,0004195400013,,,,1,,ZAND,,,,HERBALOZENGE-LEMON ZINC,,,,,,,15.00,,,,LZ,,,Feb 21 2016 1,,,,4.37,,,,,
11,0004195400007,,,,1,,ZAND,,,,HERBALOZENGE-LEMON HONEY-ORG,,,,,,,18.00,,,,LZ,,,Feb 21 2016 1,,,,4.37,,,,,
12,0004195400005,,,,1,,ZAND,,,,HERBALOZENGE-CRANBERRY RASPBERRY-ORG,,,,,,,18.00,,,,LZ,,,Feb 21 2016 1,,,,4.37,,,,,
13,0007628009810,,,,1,,SOLARAY,,,,EMPTY GEL CAP SIZE 0,,,,,,,100.00,,,,CAP,,,,,,,5.00,,,,,
Positio,,,UPC,,,Facings,,,Brand,,,,,Long Description,,,,,,Size,,,,UOM,,,Date,,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0060670501001,,,1,,,BEGONE,,,,COLD SORES BEGONE STICK,,,,,,0.15,,,,,OZ,,,,,,3.00,,,,,,
15,0060928030002,,,1,,,WALLYS NATURAL,,,,EAR CANDLES-BEESWAX,,,,,,2.00,,,,,PK,,,,,,1.48,,,,,,
16,0060928030004,,,1,,,WALLYS NATURAL,,,,EAR CANDLES-BEESWAX,,,,,,4.00,,,,,PK,,,,,,2.95,,,,,,
17,0007628009840,,,1,,,SOLARAY,,,,EMPTY GEL CAP SIZE 00,,,,,,100.00,,,,,CAP,,,,,,5.00,,,,,,
18,0060670501001,,,1,,,BEGONE,,,,COLD SORES BEGONE STICK,,,,,,0.15,,,,,OZ,,,,,,3.00,,,,,,
19,0007628009813,,,1,,,SOLARAY,,,,EMPTY VEGETARIAN CAPSULES SIZE 0,,,,,,100.00,,,,,VCP,,,,,,5.00,,,,,,
20,0060670505001,,,1,,,BEGONE,,,,CANKER SORES BEGONE STICK,,,,,,0.15,,,,,OZ,,,,,,3.00,,,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 3,   Length: 1' 4.25"",    Height: 4' 6.00"",   Depth: 0' 7.00"",   Product: 0' 0.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0075617402499,,,1,,,TSC,,,,HAIR CLIP,,,,,,1.00,,,,,EA,,,,,,3.50,,,,,,
2,0075617403299,,,1,,,TSC,,,,BOBBY PINS,,,,,,1.00,,,,,EA,,,,,,3.35,,,,,,
3,0075617402299,,,1,,,TSC,,,,PONY OS,,,,,,1.00,,,,,EA,,,,,,3.35,,,,,,
4,0075617401299,,,1,,,TSC,,,,HEAD BANDS,,,,,,1.00,,,,,EA,,,,,,3.35,,,,,,
5,0073647310358,,,1,,,BASS,,,,BRUSH-BABY-SOFT BRISTLE,,,,,,1.00,,,,,EA,,,,,,1.90,,,,,,
6,0073647310294,,,1,,,BASS,,,,BRUSH-SOFT WILD BOAR BRISTLES,,,,,,1.00,,,,,EA,,,,,,2.50,,,,,,
7,0073647310110,,,1,,,BASS,,,,COMB-POCKET-WOOD,,,,,,1.00,,,,,EA,,,,,,3.00,,,,,,
8,0073647310066,,,1,,,BASS,,,,COMB-LARGE COMBINATION-WOOD,,,,,,1.00,,,,,EA,,,,,,3.50,,,,,,
9,0073647310065,,,1,,,BASS,,,,COMB-MEDIUM WIDE TOOTH-WOOD,,,,,,1.00,,,,,EA,,,,,,3.25,,,,,,
10,0073647310059,,,1,,,BASS,,,,BRUSH-HAIR-LARGE VENTED,,,,,,1.00,,,,,EA,,,,,,2.05,,,,,,
11,0073647310282,,,1,,,BASS,,,,BRUSH-HAIR-NINE ROW STYLER,,,,,,1.00,,,,,EA,,,,,,2.50,,,,,,
12,0073647310054,,,1,,,BASS,,,,BRUSH-HAIR-PROFESSIONAL STYLE,,,,,,1.00,,,,,EA,,,,,,2.50,,,,,,
13,0073647310007,,,1,,,BASS,,,,BRUSH-HAIR-PURSE,,,,,,1.00,,,,,EA,,,,,,2.25,,,,,,
14,0073647310008,,,1,,,BASS,,,,BRUSH-HAIR-LARGE-OVAL,,,,,,1.00,,,,,EA,,,,,,3.25,,,,,,
15,0073647310060,,,1,,,BASS,,,,BRUSH-HAIR-FOLD UP-WITH MIRROR,,,,,,1.00,,,,,EA,,,,,,2.25,,,,,,
16,0073647310111,,,1,,,BASS,,,,BRUSH-HAIR-PROFESSIONAL STYLE,,,,,,1.00,,,,,EA,,,,,,2.25,,,,,,
17,0073647310063,,,1,,,BASS,,,,BRUSH-HAIR-LARGE-OVAL,,,,,,1.00,,,,,EA,,,,,,3.00,,,,,,
18,0073647310256,,,1,,,BASS,,,,BRUSH-HAIR-SEMI S SHAPED,,,,,,1.00,,,,,EA,,,,,,3.00,,,,,,
19,0073647310009,,,1,,,BASS,,,,BRUSH-HAIR-LARGE-SQUARE-PADDLE,,,,,,1.00,,,,,EA,,,,,,3.75,,,,,,
20,0073647310030,,,1,,,BASS,,,,BRUSH-HAIR-LARGE-ROUND,,,,,,1.00,,,,,EA,,,,,,3.25,,,,,,
21,0073647310012,,,1,,,BASS,,,,BRUSH-HAIR-MEDIUM-ROUND,,,,,,1.00,,,,,EA,,,,,,2.25,,,,,,
22,0073647310003,,,1,,,BASS,,,,BRUSH-HAIR-SEMI OVAL,,,,,,1.00,,,,,EA,,,,,,2.25,,,,,,
23,0073647310014,,,1,,,BASS,,,,BRUSH-HAIR-SEMI OVAL,,,,,,1.00,,,,,EA,,,,,,2.25,,,,,,
24,0073647310022,,,1,,,BASS,,,,BRUSH-HAIR-LARGE-OVAL,,,,,,1.00,,,,,EA,,,,,,3.00,,,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positio,,,UPC,,,Facings,,,Brand,,,,,Long Description,,,,,,Size,,,,UOM,,,Date,,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 4,   Length: 1' 4.25"",    Height: 4' 6.00"",   Depth: 0' 7.00"",   Product: 0' 0.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0063174005090,,,1,,,PRESERVE,,,,RAZOR REFILL-TRIPLE BLADE,,,,,,4.00,,,,,PK,,,,,,2.90,,,,,,
2,0063174005080,,,1,,,PRESERVE,,,,RAZOR-TRIPLE BLADE,,,,,,1.00,,,,,EA,,,,,,1.80,,,,,,
3,0063174005054,,,1,,,PRESERVE,,,,SHAVE 5-CARTRIDGES,,,,,,4.00,,,,,CNT,,,,,,3.85,,,,,,
4,0063174005051,,,1,,,PRESERVE,,,,SHAVE  5 WOMENS,,,,,,1.00,,,,,EA,,,,,,2.55,,,,,,
5,0063174005052,,,1,,,PRESERVE,,,,RAZOR-SHAVE 5-MEN'S,,,,,,1.00,,,,,EA,,,,,,2.55,,,,,,
6,0004213748632,,,1,,,DENCO,,,,SOW GOOD-BIG GRIPPER,,,,,,1.00,,,,,EA,,,,,,2.75,,,,,,
7,0004213748402,,,1,,,DENCO,,,,SOW GOOD-FIESTA TWEEZERS,,,,,,1.00,,,,,EA,,,,,,2.75,,,,,,
8,0004213748102,,,1,,,DENCO,,,,SOW GOOD-SLANT TIP TWEEZERS,,,,,,1.00,,,,,EA,,,,,,2.75,,,,,,
9,0004213748602,,,1,,,DENCO,,,,SOW GOOD-AERO TWEEZE,,,,,,1.00,,,,,EA,,,,,,2.75,,,,,,
10,0004213729812,,,1,,,DENCO,,,,SOW GOOD-SKIN CARE TOOL,,,,,,1.00,,,,,EA,,,,,,2.75,,,,,,
11,0004213741102,,,1,,,DENCO,,,,SOW GOOD-EYEBROW & FACIAL SCISSORS,,,,,,1.00,,,,,EA,,,,,,2.75,,,,,,
12,0004213749012,,,1,,,DENCO,,,,SOW GOOD-EYELASH CURLER,,,,,,1.00,,,,,EA,,,,,,2.75,,,,,,
13,0004213739702,,,1,,,DENCO,,,,SOW GOOD-PUMICE STONE,,,,,,1.00,,,,,EA,,,,,,2.75,,,,,,
14,0004213726632,,,1,,,DENCO,,,,SOW GOOD-SAPPHIRE FILE,,,,,,1.00,,,,,EA,,,,,,2.75,,,,,,
15,0004213727172,,,1,,,DENCO,,,,SOW GOOD-3 STEP NAIL BUFFER,,,,,,1.00,,,,,EA,,,,,,2.75,,,,,,
16,0004213735572,,,1,,,DENCO,,,,SOW GOOD-NEAT CLIP TOENAIL CLIPPER,,,,,,1.00,,,,,EA,,,,,,2.75,,,,,,
17,0004213725572,,,1,,,DENCO,,,,SOW GOOD-NEAT CLIP NAIL CLIPPER,,,,,,1.00,,,,,EA,,,,,,2.75,,,,,,
18,0004213727142,,,1,,,DENCO,,,,SOW GOOD-EMERY BOARDS-10 PACK,,,,,,1.00,,,,,EA,,,,,,2.75,,,,,,
19,0004213727192,,,1,,,DENCO,,,,SOW GOOD-BLACK CUSHIONED BOARDS,,,,,,1.00,,,,,EA,,,,,,2.75,,,,,,
20,0004213739812,,,1,,,DENCO,,,,SOW GOOD-HALF-PIPE FOOT SMOOTHER,,,,,,1.00,,,,,EA,,,,,,2.40,,,,,,
21,0004213785350,,,1,,,DENCO,,,,FOOT SMOOTHER,,,,,,1.00,,,,,EA,,,,,,2.75,,,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 5,   Length: 3' 0.00"",    Height: 5' 0.00"",   Depth: 0' 7.00"",   Product: 0' 0.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0007962591271,,,1,,,ECOTOOLS,,,,FOAM APPLICATOR,,,,,,1.00,,,,,EA,,,,,,2.90,,,,,,
