",,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 7",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 9:  Height 0' 8.00"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 8:  Height 0' 4.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 7:  Height 0' 4.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 6:  Height 0' 3.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 5:  Height 0' 3.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 4:  Height 0' 4.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 3:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 2:  Height 0' 5.50"", Length 4' 0.00"", Depth 1' 6.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf 1:  Height 0' 10.50"", Length 4' 0.00"", Depth 1' 6.00",,,,,,,,,,"""",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0065474935476,,,,1,,AVALON ORGANICS,,,,,,HAND BODY LOTION-TRAVEL-LAVENDER,,,,2.00,,,FOZ,,,Jul 17 2016 1,,,,1.13,,,,
12,0001878777502,,,,1,,DR BRONNERS,,,,,,LIQUID SOAP-TRAVEL-PEPPERMINT,,,,2.00,,,FOZ,,,Jul 17 2016 1,,,,1.38,,,,
13,0001878777402,,,,1,,DR BRONNERS,,,,,,LIQUID SOAP-TRAVEL-LAVENDER,,,,2.00,,,FOZ,,,Jul 17 2016 1,,,,1.38,,,,
14,0001878777202,,,,1,,DR BRONNERS,,,,,,BABY CASTILLE SOAP TRAVEL SIZE,,,,2.00,,,FOZ,,,Jul 17 2016 1,,,,1.38,,,,
15,0007732683259,,,,1,,TOMS OF MAINE,,,,,,TOOTHPASTE-FLUORIDE-FRESH MINT,,,,3.00,,,OZ,,,Jul 17 2016 1,,,,5.00,,,,
16,0007732683260,,,,1,,TOMS OF MAINE,,,,,,TOOTHPASTE-FLUORIDE-FREE-FRESH MINT,,,,3.00,,,OZ,,,Jul 17 2016 1,,,,5.00,,,,
17,0072474200621,,,,1,,ALBA BOTANICA,,,,,,TEA TREE DEODORANT STICK,,,,0.50,,,OZ,,,Jul 17 2016 1,,,,1.75,,,,
18,0008644900225,,,,1,,CRYSTAL,,,,,,BODY DEODORANT TRAVEL STICK,,,,1.50,,,OZ,,,Jul 17 2016 1,,,,1.50,,,,
19,0001996254201,,,,1,,SCHMIDTS,,,,,,DEODORANT-ROSE + VANILLA,,,,0.70,,,OZ,,,,,,,2.30,,,,
20,0001996277113,,,,1,,SCHMIDTS,,,,,,DEODORANT-LAVENDER + SAGE,,,,0.70,,,OZ,,,,,,,2.30,,,,
21,0001996277103,,,,1,,SCHMIDTS,,,,,,DEODORANT-BERGAMOT + LIME,,,,0.70,,,OZ,,,,,,,2.30,,,,
22,0001996277133,,,,1,,SCHMIDTS,,,,,,DEODORANT-FRAGRANCE FREE,,,,0.70,,,OZ,,,,,,,2.30,,,,
23,0085997502075,,,,1,,ANDALOU NATURALS,,,,,,CLEANSING MILK-APIRCOT PROBIOTIC,,,,1.70,,,FOZ,,,,,,,2.10,,,,
