Positio,,UPC,,,Facings,,,Brand,,,,,Long Description,,,,,Size,,,UOM,,,,,Date,,,,,Width,,,,
19,0003367449111,,,1,,NATURE'S WAY,,,,,,MELATONIN 500MCG SUBL,,,,,100.00,,,LZ,,,,,,,,1.85,,,,,,,
20,0005149410359,,,1,,MEGAFOOD,,,,,,MELATONIN BERRY GOOD SLEEP,,,,,90.00,,,CNT,,,,,,,,3.02,,,,,,,
21,0076899030188,,,1,,NORDIC NATURALS,,,,,,MELATONIN GUMMIES,,,,,60.00,,,CHW,,,,,,,,2.55,,,,,,,
,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 2,   Length: 4' 0.00"",    Height: 0' 5.50"",   Depth: 1' 1.00"",   Product: 3' 11.90""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0007628002170,,,1,,SOLARAY,,,,,,SLEEP BLEND SP-17,,,,,100.00,,,CAP,,,,,,,,2.00,,,,,,,
2,0006895803058,,,1,,NATURAL FACTORS,,,,,,3 BRAINS THE BEST SLEEP,,,,,90.00,,,VCP,,,,,,,,2.40,,,,,,,
3,0006895802830,,,1,,NATURAL FACTORS,,,,,,STRESS RELAX TRANQUIL,,,,,90.00,,,SG,,,,,,,,2.41,,,,,,,
4,0006895802831,,,1,,NATURAL FACTORS,,,,,,STRESS RELAX TRANQUIL SLEEP,,,,,60.00,,,CHW,,,,,,,,2.75,,,,,,,
5,0006895802716,,,1,,NATURAL FACTORS,,,,,,STRESS RELAX MELATONIN 3 MG CHEWABLE,,,,,180.00,,,TAB,,,,,,,,2.25,,,,,,,
6,0006895802717,,,1,,NATURAL FACTORS,,,,,,STRESS RELAX MELATONIN 5MG,,,,,90.00,,,TAB,,,,,,,,2.25,,,,,,,
7,0002107802778,,,1,,SOURCE NATURALS,,,,,,SLEEP REJUVENATION,,,,,60.00,,,TAB,,,,,,,,2.42,,,,,,,
8,0002107800706,,,1,,SOURCE NATURALS,,,,,,MELATONIN 1 MG ORANGE,,,,,100.00,,,TAB,,,,,,,,1.70,,,,,,,
9,0002107800709,,,1,,SOURCE NATURALS,,,,,,MELATONIN 1 MG SUBLINGUAL PEPPERMINT,,,,,100.00,,,TAB,,,,,,,,1.70,,,,,,,
10,0002107800271,,,1,,SOURCE NATURALS,,,,,,MELATONIN 2.5 MG ORANGE,,,,,60.00,,,TAB,,,,,,,,1.70,,,,,,,
Positio,,,UPC,,Facings,,,,,Brand,,,,Long Description,,,,,Size,,,UOM,,,,,Date,,,,,Width,,,
-----------   --------------------------------- ------------------------------------------------------------------------------------------------------------------ ------------ -------------------- ---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0002107800272,,,1,,SOURCE NATURALS,,,,,,MELATONIN 2.5 MG ORANGE,,,,,120.00,,,TAB,,,,,,,,1.85,,,,,,,
