1,0065801011677,,,,1,,,GARDEN OF LIFE,,,,,,ORGANIC CHIA SEED,,,,12.00,,,,,OZ,,,,,,,6.40,,,,,,,
2,0065801011678,,,,2,,,GARDEN OF LIFE,,,,,,GOLDEN FLAX SEED-ORGANIC,,,,14.00,,,,,OZ,,,,,,,6.40,,,,,,,
3,0065801011680,,,,1,,,GARDEN OF LIFE,,,,,,ORG GLDN FLX SEED & ANTIOXIDNT FRUIT,,,,12.00,,,,,OZ,,,,,,,6.40,,,,,,,
4,0065801011679,,,,2,,,GARDEN OF LIFE,,,,,,GOLDEN FLAX SEED & CHIA SEED-ORGANIC,,,,12.00,,,,,OZ,,,,,,,6.40,,,,,,,
5,0070587510027,,,,2,,,BARLEANS,,,,,,FLAX CHIA-COCONUT-ORGANIC,,,,12.00,,,,,OZ,,,,,,,6.40,,,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 3,   Length: 4' 0.00"",    Height: 0' 8.50"",   Depth: 1' 4.00"",   Product: 4' 0.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0002250652106,,,,2,,,SPECTRUM ESSENTIALS,,,,,,CHIA SEED-OMEGA 3 AND FIBER,,,,12.00,,,,,OZ,,,,,,,6.45,,,,,,,
2,0002250652107,,,,2,,,SPECTRUM ESSENTIALS,,,,,,GROUND CHIA SEED-ORG-OMEGA 3 & FIBER,,,,10.00,,,,,OZ,,,,,,,6.45,,,,,,,
3,0002250612504,,,,2,,,SPECTRUM ESSENTIALS,,,,,,PREMIUM FLAXSEED WHOLE-ORGANIC,,,,15.00,,,,,OZ,,,,,,,6.45,,,,,,,
4,0002250612507,,,,1,,,SPECTRUM ESSENTIALS,,,,,,FLAX SEED-GROUND-MIXED BERRY,,,,12.00,,,,,OZ,,,,,,,6.45,,,,,,,
5,0002250652108,,,,1,,,SPECTRUM ESSENTIALS,,,,,,DECADENT BLEND CHIA & FLAX SEED,,,,12.00,,,,,OZ,,,,,,,6.45,,,,,,,
,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals:,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 4,   Length: 4' 0.00"",    Height: 0' 8.50"",   Depth: 1' 4.00"",   Product: 3' 11.96""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0064667067332,,,,2,,,SPROUTS,,,,,,CHIA SEEDS-ORG,,,,12.00,,,,,OZ,,,,,,,6.25,,,,,,,
2,0064667067331,,,,2,,,SPROUTS,,,,,,FLAXSEED-ORG-GROUND,,,,16.00,,,,,OZ,,,,,,,7.00,,,,,,,
3,0002250667789,,,,2,,,SPECTRUM ESSENTIALS,,,,,,GROUND FLAXSEED-ORG,,,,14.00,,,,,OZ,,,,,,,6.45,,,,,,,
4,0002250654100,,,,1,,,SPECTRUM ESSENTIALS,,,,,,FLAXSEED-ORG-GROUND,,,,24.00,,,,,OZ,,,,,,,7.30,,,,,,,
