"Project Type: Reset 10/22/2018 Buyer: Kate Gibson x317 Analyst: Tim Esch x596
Location(s):
Notes:",,,,,,,,,,,,"10/12/2018
Vitamin Department
33411 Shadow Box-Protein Packets-L-Released
",,,,,,,,,,,,"Confidential-For Sprouts Use Only
Page 1 / 4",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shelf: 3,   Length: 1' 9.00"",    Height: 0' 7.75"",   Depth: 1' 0.00"",   Product: 1' 9.00""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0065801011555,,,,1,,,GARDEN OF LIFE,,,,RAW PROTEIN POWDER-ORG PACKET,,,1.00,,,OZ,,,,Feb 21 2016 1,,,,4.40,,,,
2,,0065801011554,,,,1,,,GARDEN OF LIFE,,,,RAW PROTEIN POWDER-ORG 10PK,,,10.00,,,OZ,,,,Feb 21 2016 1,,,,4.56,,,,
3,,0065801011616,,,,1,,,GARDEN OF LIFE,,,,RAW PROTEIN PWDR-ORG VANILLA PACKET,,,1.10,,,OZ,,,,Feb 21 2016 1,,,,4.40,,,,
4,,0065801011617,,,,1,,,GARDEN OF LIFE,,,,RAW PROTEIN PWDR-ORG VANILLA 10PK,,,11.00,,,OZ,,,,Feb 21 2016 1,,,,4.56,,,,
5,,0065801011614,,,,1,,,GARDEN OF LIFE,,,,RAW PROTEIN PWDR-ORG CHOC PACKET,,,1.20,,,OZ,,,,Feb 21 2016 1,,,,4.40,,,,
6,,0065801011615,,,,1,,,GARDEN OF LIFE,,,,RAW PROTEIN PWDR-ORG CHOCOLATE 10PK,,,11.70,,,PK,,,,Feb 21 2016 1,,,,4.56,,,,
7,,0065801012137,,,,1,,,GARDEN OF LIFE,,,,PROTEIN-ORG-WHEY-VANILLA-GRS FD-PKT,,,1.11,,,OZ,,,,,,,,4.35,,,,
8,,0065801012132,,,,1,,,GARDEN OF LIFE,,,,PROTEIN-ORG-WHEY-VANILLA-GRASS FD,,,11.14,,,OZ,,,,,,,,4.80,,,,
,,,,,,---------------,,,,,,,,,,,,,,,,,,,,,,,,,
